district,a_s_o_n_j_u_n_e_2_0_2_1_total_no_of_jlg,a_s_o_n_j_u_n_e_2_0_2_1_loan_o_s_to_jlgs,a_s_o_n_j_u_n_e_2_0_2_1_average_ticket_size_of_jlg_loan_o_s_total_credit_o_s_to_jlg_no_of_jlgs,there_are_about_42_867_self_help_groups_shgs_are_present_in_the_state_of_uttarakhand_as_on_june_2021_in_the_state_th,a_s_o_n_m_a_r_c_h_2_0_2_0_total_no_of_shg,a_s_o_n_m_a_r_c_h_2_0_2_0_out_of_i_no_of_shgs_credit_linked,a_s_o_n_m_a_r_c_h_2_0_2_0_average_ticket_size_of_shg_loan_o_s_total_credit_o_s_to_shg_no_of_credit_linked_shgs,a_s_o_n_m_a_r_c_h_2_0_2_0_total_no_of_jlg,a_s_o_n_m_a_r_c_h_2_0_2_0_loan_o_s_to_jlgs,a_s_o_n_m_a_r_c_h_2_0_2_0_average_ticket_size_of_jlg_loan_o_s_total_credit_o_s_to_jlg_no_of_jlgs
Almora,435,4,91954,23,3369,1825,105000,988,4.32,43700
Bageshwar,87,0.81,93103,24,2950,1705,105000,95,0.37,38325
Chamoli,69,0.58,84058,69,3192,2145,110000,111,0.48,43620
Champawat,150,0.83,55333,31,1975,1220,90000,167,0.75,44650
Dehradun,22543,131.34,58262,35,3119,1880,,25979,82.34,31695
Haridwar,42402,182.59,43062,75,2933,1785,120000,42801,113.81,26590
Nainital,7387,39.65,53675,37,1018,630,110000,6246,22.39,35850
Pauri Garhwal,1212,8.92,73597,24,4519,2870,85000,1355,5.32,39250
Pithoragarh,359,3.83,106685,42,3331,1958,85000,508,1.8,35540
Rudraprayag,48,4.09,852083,25,875,575,85000,70,0.29,41250
Tehri Garhwal,239,3.09,129289,30,4210,2630,80000,311,1.29,41560
Udham Singh Nagar,15300,74.35,48595,102,2402,1565,100000,14075,89.4,63520
Uttarkashi,306,2.23,72876,47,2514,1758,110000,242,0.98,40320
