district,sr_no,population,population_density
Almora,8,622506,198
Bageshwar,9,259898,116
Chamoli,6,391605,49
Champawat,11,259648,147
Dehradun,1,1696694,549
Haridwar,3,1890422,801
Nainital,12,954605,225
Pauri Garhwal,5,687271,129
Pithoragarh,10,483439,68
Rudraprayag,7,242285,122
Tehri Garhwal,4,618506,170
Udham Singh Nagar,13,1648902,649
Uttarkashi,2,330086,41
