district,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_female
Almora,1949,1313
Bageshwar,969,546
Chamoli,2955,1892
Champawat,1150,923
Dehradun,2600,2486
Haridwar,3180,1481
Nainital,3320,2407
Pauri Garhwal,4279,3003
Pithoragarh,1955,1537
Rudraprayag,1064,861
Tehri Garhwal,2402,1717
Udham Singh Nagar,4751,3067
Uttarkashi,1640,999
