district,total_no_of_shg,out_of_i_no_of_shgs_credit_linked,average_ticket_size_of_shg_loan_o_s_total_credit_o_s_to_shg_no_of_credit_linked_shgs
Almora,4495,2630,110000
Bageshwar,3045,1751,110000
Chamoli,3655,2415,120000
Champawat,2588,1481,95000
Dehradun,3472,2164,120000
Haridwar,3065,2010,125000
Nainital,1205,750,115000
Pauri Garhwal,5767,3515,90000
Pithoragarh,3589,2161,90000
Rudraprayag,995,660,95000
Tehri Garhwal,5298,3210,85000
Udham Singh Nagar,2905,1965,105000
Uttarkashi,2788,1902,115000
