District,col_1,col_2,col_3,col_4,col_5,col_6
Amroha,216405.0,4646.31,,,,
Auraiya,86572.0,1846.18,2979.0,3.1,,
Azamgarh,312954.0,5058.86,20260.0,6.47,7.88,
Baghpat,2993.05,414.55,13.76,414.55,13.76,13.85
Ballia,201407.0,3018.19,,,,
Balrampur,121233.0,2302.94,11967.0,249.43,9.87,10.83
Banda,8588.0,4.3,,,,
Barabanki,334197.0,6551.09,,,,
Bareilly,13798.51,34.65,17.85,,,
Basti,200407.0,3149.38,9016.0,158.6,4.5,5.04
Bhadohi,123219.0,2626.72,10300.0,382.0,8.36,14.54
Budaun,282475.0,5402.35,24801.0,344.51,8.78,6.38
Bulandshahr,370337.0,8290.66,50045.0,614.4,13.51,7.41
Ghaziabad,260403.0,62474.0,1500.44,23.99,6.28,
Hardoi,358298.0,7.24,,,,
Jaunpur,412479.0,5.92,,,,
Jhansi,264396.0,319.68,4.57,,,
Kheri,395706.0,8292.6,65140.0,1392.5,16.46,16.79
Lucknow,807563.0,43177.05,158600.0,3248.29,19.64,7.52
Maharajganj,262105.0,7.12,6509858.0,,,
Mainpuri,158517.0,3626.49,3162.0,73.28,1.99,2.02
Mau,137201.0,10568.0,189.32,7.7,7.57,
Meerut,467715.0,16581.07,2106.5,21.19,,
Mirzapur,202498.0,12102.0,187.82,,,
Moradabad,309628.0,11065.06,314171.0,6578.59,101.47,
Muzaffarnagar,439004.0,10839.31,90722.0,20.67,15.74,
Pilibhit,277656.0,45756.0,1028.45,16.48,,
Rae Bareli,409395.0,19204.0,,,,
Rampur,235258.0,5317.21,60808.0,1240.13,,
Saharanpur,488085.0,10609.89,120989.0,1988.68,24.79,18.74
Sant Kabeer Nagar,232201.0,29881.0,12.87,,,
Shahjahanpur,308049.0,7306.72,36600.0,885.29,11.88,
Shravasti,89034.0,1205.05,11960.0,147.84,13.43,12.27
Siddharth Nagar,139653.0,1960.42,14458.0,13.78,,
Sitapur,354119.0,5607.53,,,,
Sonbhadra,168606.0,3449.6,10277.0,,,
Sultanpur,209131.0,3273.11,,,,
Unnao,223240.0,3469.23,,,,
