District,subscribers_fy15,subscribers_fy16,subscribers_fy17,subscribers_fy18
Amethi,153.0,13040.0,13039.0,
Bahraich,197.0,17340.0,,
Banda,141.0,56.88,,
Bareilly,376.0,20580.0,63.85,269038.0
Basti,15130.0,12347.0,,
Bhadohi,110.0,6999.0,80260.0,
Budaun,171.0,15195.0,11278.0,131789.0
Bulandshahr,236.0,20265.0,,
Deoria,229.0,19825.0,49.15,130124.0
Farrukhabad,142.0,11735.0,,
Fatehpur,186.0,16490.0,134.66,
Firozabad,148.0,69.24,113934.0,
Gautam Buddha Nagar,499.0,12919.0,,
Ghaziabad,473.0,38530.0,,
Ghazipur,24245.0,183684.0,,
Gonda,221.0,19505.0,172336.0,
Gorakhpur,414.0,35210.0,52.56,248218.0
Hamirpur,110.0,2861.0,31.1,67833.0
Hapur,111.0,2668.0,28.01,
Hardoi,242.0,15034.0,70.15,
Hathras,132.0,4571.0,39.34,72737.0
Jaunpur,330.0,255068.0,,
Kheri,262.0,22995.0,,
Kushi Nagar,199.0,17265.0,,
Lucknow,6812.0,84.73,77469.0,
Meerut,423.0,185187.0,,
Mirzapur,211.0,134536.0,,
Moradabad,328.0,61.89,190191.0,
Pratapgarh,263.0,230051.0,,
Prayagraj,516.0,344201.0,,
Rae Bareli,320.0,26290.0,245695.0,
Rampur,226.0,11433.0,,
Sambhal,129.0,11400.0,,
Shamli,79.0,6935.0,59.32,49348.0
Shravasti,71.0,63.58,,
Siddharth Nagar,150.0,88.66,,
Sultanpur,211.0,18710.0,17475.0,224071.0
