District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Auraiya,4733.0,14.66,14.53,2196.0,51.28,,,
Ayodhya,15338.0,54.04,53.91,10635.0,135.15,131.23,968.0,79.71
Azamgarh,39739.0,147.95,147.58,,,,,
Baghpat,9176.0,35.51,34.83,6672.0,86.14,84.47,479.0,39.39
Ballia,32737.0,122.99,122.8,19941.0,216.92,213.63,982.0,80.94
Balrampur,4533.0,15.27,15.04,3077.0,53.76,51.34,749.0,113.55
Banda,14802.0,54.86,54.52,,,,,
Bhadohi,15075.0,57.31,,,,,,
Bijnor,31602.0,121.63,,,,,,
Budaun,13317.0,51.44,50.97,6187.0,73.9,71.22,,
Chandauli,64.76,62.9,9632.0,111.64,108.76,592.0,48.88,47.33
Chitrakoot,8389.0,31.99,31.28,4766.0,49.65,,,
Etawah,2149.0,6.41,4159.0,59.44,56.69,523.0,42.39,38.88
Farrukhabad,3542.0,12.68,12.59,3702.0,53.98,51.46,544.0,43.18
Fatehpur,9838.0,37.68,37.62,7588.0,103.23,102.41,788.0,62.72
Firozabad,15374.0,53.85,53.67,10275.0,111.73,109.45,849.0,68.6
Gautam Buddha Nagar,3605.0,13.74,13.46,4525.0,83.92,80.47,1843.0,1498.03
Ghaziabad,16033.0,54.82,54.44,12847.0,157.39,153.55,1900.0,155.36
Ghazipur,30926.0,117.12,116.42,17076.0,198.21,194.23,1434.0,116.38
Hamirpur,14147.0,51.81,51.36,4265.0,49.59,49.38,234.0,18.45
Hapur,13325.0,50.73,49.86,9615.0,99.02,96.52,554.0,43.8
Hardoi,12066.0,47.83,47.03,3974.0,80.66,74.69,1031.0,81.82
Hathras,6878.0,24.85,24.5,6702.0,68.91,67.33,489.0,40.16
Jalaun,11783.0,40.82,40.6,4129.0,51.31,50.49,561.0,41.21
Jhansi,31636.0,106.9,106.36,8321.0,99.58,96.39,805.0,64.11
Kannauj,5752.0,22.16,21.93,4985.0,65.71,62.97,764.0,55.31
Kanpur Dehat,3228.0,11.44,11.36,2031.0,37.04,36.15,423.0,34.73
Kanpur Nagar,9404.0,33.55,33.1,11383.0,190.96,187.1,3035.0,252.78
Kaushambi,10162.0,33.51,33.37,4990.0,63.57,63.06,417.0,32.97
Kheri,13698.0,51.86,51.44,5658.0,85.42,83.42,962.0,73.81
Lalitpur,6944.0,25.14,25.06,1600.0,29.02,26.75,323.0,25.7
Mahoba,7866.0,27.84,27.61,1958.0,23.9,23.38,152.0,12.05
Mathura,84.37,11649.0,118.32,116.76,845.0,67.69,66.13,34712.0
Mirzapur,97.8,12888.0,139.23,136.84,1131.0,86.99,85.87,41553.0
Rae Bareli,58.06,10193.0,144.6,143.71,1401.0,114.88,114.08,28071.0
Saharanpur,59947.0,219.34,219.08,325.33,321.78,1293.0,105.21,101.61
Sant Kabeer Nagar,13504.0,49.92,71.75,70.87,668.0,54.35,53.0,19947.0
Shamli,39.86,72.36,70.48,378.0,31.11,29.18,18157.0,143.75
Shravasti,4593.0,15.12,,,,,,
Siddharth Nagar,12240.0,42.41,75.58,74.52,713.0,59.28,58.35,18121.0
Sitapur,13917.0,47.35,,,,,,
Sonbhadra,33648.0,119.29,118.89,116.12,115.11,808.0,65.52,64.63
Unnao,25.27,24.84,70.48,66.49,754.0,58.72,55.89,12153.0
Varanasi,56964.0,209.88,,,,,,
