District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,active_no,balance_amt_crore,zero_balance_no,rupay_issued_no,rupay_active_no,active_pct,rupay_active_pct
Bahraich,1059517.0,256963.0,614121.0,702359.0,1316480.0,1259345.0,,,,,,
Ballia,1184516.0,632804.0,812357.0,1004963.0,1717857.0,884.32,1092915.0,88.2,63.62,,,
Balrampur,714007.0,98588.0,384614.0,427981.0,812595.0,742712.0,473.39,80451.0,470030.0,725656.0,97.7,63.29
Banda,529253.0,141518.0,340281.0,330490.0,670771.0,556307.0,354.99,34807.0,262490.0,547199.0,98.36,47.18
Barabanki,1276713.0,109138.0,621607.0,764244.0,1385851.0,1348092.0,752.38,91309.0,1022963.0,1226438.0,90.98,75.88
Etah,412455.0,440682.0,404043.0,449094.0,853137.0,806556.0,351.94,82531.0,662009.0,691000.0,85.67,82.08
Kannauj,750833.0,117233.0,405739.0,462327.0,868066.0,760914.0,361.81,67261.0,641988.0,752051.0,98.84,84.37
Kanpur Dehat,717739.0,148627.0,446554.0,419812.0,866366.0,828506.0,449.35,50370.0,647608.0,774777.0,93.51,78.17
Kanpur Nagar,596883.0,1101523.0,813990.0,884416.0,1698406.0,1567289.0,954.95,103713.0,1309184.0,1452607.0,92.68,83.53
Kaushambi,774948.0,98715.0,431662.0,442001.0,873663.0,801186.0,537.66,40313.0,661649.0,783542.0,97.8,82.58
Kushi Nagar,1719089.0,328671.0,945386.0,1102374.0,2047760.0,1937387.0,809.44,276894.0,1117558.0,1659088.0,85.64,57.68
Lalitpur,453999.0,184739.0,308978.0,329760.0,638738.0,602459.0,197.46,51383.0,433133.0,543914.0,90.28,71.89
Lucknow,625701.0,1008999.0,768436.0,866264.0,1634700.0,1569178.0,1078.83,157633.0,1212576.0,1349904.0,86.0,4.27
Mathura,603323.0,364664.0,471603.0,496384.0,967987.0,867897.0,453.95,89730.0,750493.0,814186.0,93.81,86.47
Mau,1087685.0,358574.0,619393.0,826866.0,1446259.0,1421223.0,679.04,146996.0,697890.0,1226842.0,86.32,49.1
Meerut,655640.0,683739.0,597512.0,741867.0,1339379.0,1164189.0,616.47,181569.0,916823.0,1052565.0,90.41,78.75
Mirzapur,937361.0,539451.0,619603.0,1159054.0,1034573.0,598.38,74419.0,682603.0,954972.0,92.31,65.98,
Moradabad,569071.0,713936.0,585988.0,697019.0,1283007.0,1113716.0,438.94,119515.0,883190.0,1101117.0,98.87,79.3
Pilibhit,931721.0,245232.0,553033.0,623920.0,1176953.0,1104530.0,485.17,50426.0,891667.0,1069551.0,96.83,80.73
Pratapgarh,1737787.0,77697.0,894431.0,921053.0,1815484.0,1692304.0,1373.47,62871.0,1153151.0,1628624.0,96.24,68.14
Prayagraj,2564656.0,1684673.0,3318394.0,3188271.0,1928.5,174285.0,2563636.0,2895908.0,90.83,80.41,,
Rampur,688314.0,336856.0,496545.0,528625.0,1025170.0,954199.0,530.43,78036.0,824897.0,938104.0,98.31,86.45
Saharanpur,990425.0,737151.0,784211.0,943365.0,,,,,,,,
Sambhal,644205.0,411481.0,478459.0,577227.0,958458.0,247.38,88060.0,729843.0,861033.0,89.84,76.15,
Sant Kabeer Nagar,772423.0,390015.0,479664.0,869679.0,792626.0,366.85,96984.0,485604.0,673858.0,85.02,61.27,
Shahjahanpur,1385787.0,486116.0,931401.0,940502.0,1871903.0,1754161.0,819.82,71119.0,1513927.0,1694448.0,96.6,86.3
Shamli,284506.0,217808.0,224427.0,277887.0,434853.0,215.31,49891.0,344390.0,432940.0,99.56,79.2,
Siddharth Nagar,1238379.0,62501.0,567692.0,733188.0,1300880.0,1181932.0,604.1,106053.0,758439.0,1082123.0,91.56,64.17
Sitapur,1485889.0,339682.0,846449.0,979122.0,1825571.0,1738957.0,730.78,109543.0,844885.0,1506970.0,86.66,48.59
Sonbhadra,708033.0,51755.0,368571.0,391217.0,759788.0,682427.0,338.09,61108.0,468659.0,628068.0,92.03,68.68
Sultanpur,1436403.0,149423.0,769846.0,815980.0,1585826.0,1548134.0,1190.84,52183.0,1202872.0,1448778.0,93.58,77.7
Unnao,966999.0,200858.0,537205.0,630652.0,1167857.0,1100472.0,832.83,75392.0,870948.0,1007666.0,91.57,79.14
Varanasi,1193634.0,736422.0,898683.0,1031373.0,1930056.0,1879737.0,1272.02,154960.0,1186057.0,1650622.0,87.81,63.1
