District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no,achievement_pct_amt
Aligarh,115.0,117.0,101.74,1541.24,47.96,30.78
Ambedkar Nagar,29.0,29.0,100.0,,,
Amethi,2632.0,2691.0,1188.0,1033.12,45.14,
Amroha,1.709,1748.0,1354.0,1253.53,71.71,
Bahraich,28.0,28.0,100.0,,,
Ballia,2.0,1.0,105.88,,,
Balrampur,15.0,15.0,100.0,,,
Banda,25.0,25.0,100.0,19.83,,
Barabanki,5311.0,5431.0,1391.98,25.63,,
Bareilly,136.0,135.0,99.26,1698.56,41.75,
Basti,14.0,14.0,100.0,,,
Budaun,54.0,36.0,66.67,,,
Chitrakoot,7.0,7.0,100.0,288.08,34.04,
Deoria,20.0,20.0,100.0,76.22,69.25,
Etah,29.0,27.0,93.1,,,
Etawah,40.0,40.0,100.0,61.47,,
Farrukhabad,38.0,38.0,100.0,541.88,48.89,30.91
Fatehpur,28.0,29.0,103.57,,,
Firozabad,96.0,96.0,100.0,,,
Gautam Buddha Nagar,11.0,100.0,,,,
Ghaziabad,305.0,290.0,95.08,,,
Ghazipur,24.0,21.0,87.5,49.24,53.58,
Gorakhpur,6856.0,7010.0,4.289,4332.09,61.8,
Hamirpur,18.0,18.0,100.0,,,
Hapur,46.0,46.0,100.0,608.98,54.32,
Hardoi,60.0,59.0,98.33,,,
Hathras,1112.0,1136.0,543.0,403.69,8.0,88.0
Jalaun,42.0,44.0,104.76,52.77,43.69,
Jaunpur,31.0,31.0,100.0,3065.65,52.81,60.16
Jhansi,87.0,87.0,100.0,93.11,,
Kannauj,2840.0,2259.41,76.37,77.8,,
Kanpur Dehat,15.0,16.0,106.67,,,
Kasganj,3.0,2.0,,,,
Kaushambi,10.0,10.0,100.0,,,
Kheri,4.0,3.0,38.06,32.47,,
Kushi Nagar,3.0,3.0,1764.0,1857.62,59.1,60.87
Lalitpur,1.0,1.0,,,,
Lucknow,269.0,271.0,100.74,,,
Mahoba,2.0,2.0,100.0,,,
Mainpuri,16.0,16.0,100.0,1217.65,41.94,35.55
Mathura,1789.0,1830.0,1250.0,1220.11,69.87,66.67
Mau,33.0,93.94,1407.0,1499.63,47.66,49.67
Meerut,172.0,101.74,936.75,45.71,42.29,
Mirzapur,4398.0,4497.0,11900.0,1390.73,33.56,30.93
Muzaffarnagar,5.0,5.0,100.0,,,
Pilibhit,3.0,3.0,100.0,,,
Pratapgarh,4021.0,2270.0,1989.76,56.45,48.4,
Rae Bareli,1.0,1.0,100.0,1302.46,43.09,34.46
Rampur,6.0,100.0,,,,
Sambhal,4.0,4.0,100.0,,,
Shahjahanpur,5.0,5.0,100.0,,,
Shamli,3.0,3.0,100.0,33.44,35.49,
Shravasti,1.0,1.0,100.0,420.0,22.14,25.69
Siddharth Nagar,1875.0,1419.53,47.63,35.49,,
Sitapur,6.0,100.0,,,,
Sonbhadra,1.0,100.0,,,,
Sultanpur,1.0,1.0,100.0,54.53,45.3,
Unnao,3.0,3.0,100.0,,,
Varanasi,4.0,4.0,100.0,,,
