District,sc_st_loans,sc_st_amount,women_loans,women_amount,total_loans,total_amount
Aligarh,64.0,20.0,0.33,16.0,0.22,27.0
Amethi,176.0,65.0,15.77,63.0,,
Auraiya,35.0,16.0,0.25,14.0,0.22,
Ayodhya,192.0,129.0,2.14,115.0,1.89,32.0
Azamgarh,115.0,69.0,,,,
Baghpat,27.0,0.13,,,,
Bahraich,133.0,78.0,1.54,,,
Ballia,1487.0,11734.0,,,,
Balrampur,26.0,18.0,0.33,0.31,2.0,
Banda,554.0,7371.0,,,,
Barabanki,310.0,173.0,3.0,162.0,2.77,69.0
Bareilly,573.0,357.0,330.0,5.31,,
Basti,33.0,0.52,15.0,0.23,11.0,
Bhadohi,18.0,7.0,0.12,5.0,0.07,5.0
Bijnor,207.0,96.0,84.0,,,
Budaun,16.0,7.0,0.12,0.05,,
Bulandshahr,39.0,0.1,25.0,,,
Chandauli,75.0,48.0,0.5,,,
Chitrakoot,10.0,3.0,0.06,0.06,,
Deoria,87.0,44.0,0.76,0.66,,
Etah,43.0,11.0,0.21,0.15,,
Etawah,74.0,34.0,0.58,0.34,,
Farrukhabad,51.0,27.0,0.39,0.26,,
Fatehpur,48.0,26.0,0.48,0.26,,
Firozabad,22.0,11.0,0.24,0.16,,
Gautam Buddha Nagar,46.0,21.0,15.44,15.33,,
Ghaziabad,92.0,41.0,20.67,20.44,,
Ghazipur,72.0,18.0,0.31,0.26,,
Gonda,59.0,35.0,0.89,,,
Gorakhpur,381.0,209.0,3.49,2.48,,
Hamirpur,45.0,13.0,0.21,0.19,,
Hapur,127.0,40.0,0.6,,,
Hardoi,89.0,46.0,0.86,0.72,,
Hathras,10.0,0.07,0.06,,,
Jalaun,41.0,12.0,0.2,0.16,,
Jaunpur,46.0,25.0,0.46,0.36,,
Kannauj,86.0,16.0,1.29,0.2,,
Kanpur Dehat,35.0,11.0,0.19,0.13,,
Kanpur Nagar,753.0,437.0,7.07,392.0,5.67,
Kasganj,12.0,0.05,3.0,0.04,,
Kaushambi,12.0,0.12,0.08,,,
Kheri,214.0,155.0,2.38,140.0,2.12,
Kushi Nagar,11233.0,58172.0,,,,
Lalitpur,110.0,61.0,0.95,51.0,0.75,
Lucknow,2803.0,1898.0,39.62,1646.0,31.92,
Maharajganj,760.0,9555.0,,,,
Mainpuri,0.1,0.08,,,,
Mathura,48.0,18.0,0.35,,,
Mau,39.0,17.0,0.31,0.25,,
Meerut,142.0,53.0,0.96,0.72,,
Mirzapur,151.0,85.0,1.34,,,
Moradabad,193.0,101.0,1.42,,,
Muzaffarnagar,80.0,36.0,0.39,,,
Pilibhit,68.0,34.0,0.54,,,
Prayagraj,351.0,190.0,3.46,,,
Rae Bareli,757.0,455.0,8.02,5.93,,
Rampur,59.0,16.0,0.27,0.15,,
Saharanpur,96.0,34.0,0.72,0.45,,
Sambhal,31.0,14.0,0.31,0.2,,
Sant Kabeer Nagar,54.0,21.0,0.31,0.27,,
Shahjahanpur,91.0,36.0,0.66,0.4,,
Shamli,25.0,6.0,,,,
Shravasti,2005.0,10115.0,,,,
Siddharth Nagar,52.0,31.0,0.5,0.38,,
Sitapur,266.0,175.0,2.97,2.44,,
Sonbhadra,0.33,0.22,,,,
Sultanpur,843.0,9251.0,,,,
Unnao,929.0,9931.0,,,,
Varanasi,3251.0,43494.0,,,,
