district,ancillary_ativities_food_and_agro_processing_t,a,pct,others_t,a,pct,total_ancillary_activities_t,a,pct,total_agri_t,a,pct,"micro,_small_and_medium_enterprises_micro_manufacturing_t",a,pct,micro_services_t,a,pct,small_manufacturing_t,a,pct
Angul,69.80,41.49,59.45,26.10,34.95,133.88,95.91,76.44,79.71,2233.39,1511.46,67.68,700.00,544.15,77.74,875.00,815.04,93.15,490.00,381.93,77.95
Balangir,197.95,212.37,107.28,187.46,151.15,80.63,385.41,363.53,94.32,3506.28,3766.96,107.43,470.51,394.15,83.77,588.14,598.38,101.74,329.36,213.38,64.79
Balasore,44.80,139.39,311.14,28.39,83.29,293.36,73.19,222.68,304.24,3632.02,2452.95,67.54,927.71,734.34,79.16,1159.64,1090.71,94.06,649.40,660.44,101.70
Bargarh,65.83,239.20,363.35,2.12,98.25,4630.89,67.95,337.44,496.59,5273.20,2859.06,54.22,327.81,413.89,126.26,276.05,584.54,211.75,241.54,309.20,128.01
Bhadrak,12.67,47.72,376.80,25.08,49.81,198.60,37.74,97.53,258.40,2731.64,1855.23,67.92,375.04,288.19,76.84,468.81,540.10,115.21,262.53,129.54,49.34
Boudh,20.26,14.51,71.62,36.55,21.96,60.06,56.81,36.46,64.19,1136.32,701.07,61.70,77.85,62.21,79.92,97.31,104.29,107.17,54.49,37.37,68.57
Cuttack,822.07,243.49,29.62,53.65,152.13,283.55,875.72,395.62,45.18,4159.72,3090.58,74.30,1619.77,1102.44,68.06,1364.01,1680.88,123.23,1193.51,1154.14,96.70
Deogarh,5.86,5.10,87.03,1.38,21.99,1595.75,7.24,27.09,374.10,683.45,389.57,57.00,37.08,33.46,90.25,46.35,73.65,158.90,25.96,9.04,34.84
Dhenkanal,79.04,27.09,34.28,8.66,26.99,311.64,87.70,54.08,61.67,1985.17,1194.56,60.17,250.08,160.04,64.00,312.60,275.29,88.06,175.06,105.64,60.34
Gajapati,57.24,14.74,25.75,13.60,16.18,118.93,70.84,30.91,43.64,726.85,467.65,64.34,86.74,86.94,100.24,73.04,138.48,189.59,63.91,21.95,34.35
Ganjam,308.91,379.52,122.86,20.97,193.73,923.80,329.88,573.25,173.78,5706.28,4929.00,86.38,1305.02,1249.52,95.75,1631.27,1616.39,99.09,913.51,583.30,63.85
Jagatsinghpur,67.88,6.99,10.29,51.68,13.74,26.58,119.56,20.72,17.33,1741.46,1431.56,82.20,401.69,257.92,64.21,502.11,472.92,94.19,281.18,110.80,39.41
Jajpur,143.28,56.70,39.57,49.39,18.53,37.52,192.68,75.23,39.04,3936.58,2705.44,68.73,719.60,403.40,56.06,899.50,647.95,72.03,503.72,420.77,83.53
Jharsuguda,34.07,47.08,138.16,55.69,92.24,165.63,89.77,139.32,155.21,1130.40,1091.50,96.56,408.70,365.97,89.54,510.88,573.52,112.26,286.09,303.74,106.17
Kalahandi,106.22,71.54,67.35,14.40,62.49,433.85,120.62,134.03,111.12,2413.25,1600.05,66.30,291.99,401.93,137.65,364.99,498.71,136.64,204.39,228.74,111.91
Kandhamal,7.19,4.05,56.36,2.20,15.07,686.16,9.39,19.12,203.67,916.73,575.42,62.77,199.90,109.02,54.54,249.88,162.70,65.11,139.93,53.44,38.19
Kendrapara,28.07,23.17,82.55,47.06,40.70,86.49,75.13,63.87,85.02,2697.55,2171.89,80.51,253.03,234.94,92.85,316.29,344.40,108.89,177.12,53.44,30.17
