district,total_target,sc_st_no_of_a_cs,sanction_amount,disburseme_nt_amt,women_no_of_a_cs,sanction_amount,disburseme_nt_amt,total_no_of_a_cs,sanction_amount,disburseme_nt_amt
Angul,312,47,9.97,7.96,292,79.77,63.11,339,89.75,71.06
Balangir,292,21,4.37,2.9,106,22.08,14.28,127,26.45,17.18
Balasore,454,46,8.88,4.84,271,61.44,41.29,317,70.32,46.13
Bargarh,292,50,11.27,7.85,157,38.77,26.9,207,50.04,34.75
Bhadrak,282,27,5.33,4.11,141,29.44,15.36,168,34.77,19.47
Boudh,92,18,3.73,2.71,35,7.98,6.45,53,11.71,9.16
Cuttack,844,96,20.04,11.75,590,132.75,80.46,686,152.79,92.21
Deogarh,72,4,0.48,0.14,21,4.61,2.1,25,5.09,2.24
Dhenkanal,278,35,8.38,6.49,189,49.38,37.87,224,57.77,44.36
Gajapati,96,9,1.99,0.72,30,6.6,2.74,39,8.59,3.46
Ganjam,820,89,19.99,14.63,468,116.33,68.9,557,136.33,83.53
Jharsuguda,184,27,6.56,4.59,145,36.44,25.24,172,42.99,29.83
Kalahandi,264,40,7.32,5.79,88,20.98,13.6,128,28.3,19.39
Kandhamal,134,23,3.95,2.92,60,9.94,6.72,83,13.88,9.63
Kendrapara,260,19,3.93,2.96,95,18.48,12.81,114,22.42,15.77
Keonjhar,386,41,8.81,6.36,213,53.64,40.97,254,62.45,47.32
Khordha,1228,183,38.95,23.03,1030,251.75,151.61,1213,290.7,174.64
Koraput,238,37,8.95,7.27,125,25.46,14.62,162,34.41,21.89
Malkangiri,102,36,8.33,4.6,22,5.08,3.94,58,13.4,8.54
Mayurbhanj,502,74,17.1,13.97,219,49.69,35,293,66.79,48.98
Nabarangpur,126,15,3.63,2.87,36,5.91,3.27,51,9.54,6.14
Nayagarh,228,21,4.17,2.91,114,21.78,16.55,135,25.95,19.46
Nuapada,102,13,2.48,1.7,31,6.21,2.48,44,8.68,4.18
Puri,416,48,11.17,9.48,230,48.73,30.59,278,59.9,40.06
Rayagada,198,29,5.87,4.75,103,21.35,13.18,132,27.23,17.93
Sambalpur,374,96,19.41,16.04,300,77.05,54.63,396,96.45,70.67
Subarnapur,134,15,2.68,1.88,36,7.54,4.85,51,10.22,6.74
Sundargarh,486,130,34.06,26.44,452,135.41,104.57,582,169.47,131.01
