district,allied_advance_fishery_t,a,pct,others_t,a,pct,total_farm_credit_t,a,pct,agriculture_infrastructure_storage_facilities_t,a,pct,"land_dev,_soil_conservation,_watershed_dev_t",a,pct,others_t,a,pct,total_agri_infra_t,a,pct
Angul,26.90,12.97,48.22,24.05,8.74,36.33,2077.75,1388.97,66.85,38.72,25.53,65.93,11.73,16.09,137.21,9.27,4.42,47.65,59.73,46.04,77.09
Balangir,49.11,10.12,20.60,2.85,10.80,379.49,2951.25,3350.20,113.52,149.62,23.06,15.42,7.57,26.82,354.37,12.43,3.35,26.96,169.62,53.23,31.38
Balasore,325.42,75.13,23.09,2.75,6.78,246.58,3538.33,2163.79,61.15,1.47,35.37,2404.40,16.70,22.88,137.01,2.33,8.22,352.87,20.50,66.48,324.25
Bargarh,413.26,22.72,5.50,2.06,12.46,604.90,5074.01,2459.02,48.46,92.22,42.38,45.95,15.62,11.14,71.32,23.40,9.07,38.77,131.24,62.59,47.69
Bhadrak,119.23,50.81,42.62,2.24,3.42,152.81,2625.13,1715.09,65.33,51.60,18.24,35.34,11.32,20.56,181.72,5.84,3.81,65.20,68.76,42.61,61.96
Boudh,18.70,2.39,12.79,1.51,2.25,148.43,1055.01,647.59,61.38,14.16,0.48,3.41,3.47,16.04,461.60,6.87,0.50,7.24,24.50,17.02,69.45
Cuttack,103.10,75.37,73.10,131.10,30.09,22.95,3256.55,2574.74,79.06,9.30,34.78,373.83,3.35,75.52,2255.43,14.79,9.93,67.10,27.44,120.22,438.05
Deogarh,10.45,1.72,16.48,0.23,0.73,319.76,663.01,359.72,54.26,9.32,0.99,10.62,2.97,1.67,56.16,0.92,0.10,10.60,13.20,2.75,20.86
Dhenkanal,6.90,5.97,86.49,0.90,5.53,615.17,1874.54,1127.03,60.12,10.48,10.83,103.37,10.98,2.33,21.22,1.47,0.29,19.38,22.93,13.45,58.65
Gajapati,5.57,12.58,225.81,2.15,1.68,78.48,636.01,427.19,67.17,13.88,2.58,18.61,3.57,6.85,191.73,2.54,0.11,4.35,20.00,9.54,47.72
Ganjam,220.02,181.42,82.46,3.52,14.20,403.51,5104.44,4217.76,82.63,225.09,83.52,37.11,24.14,48.21,199.66,22.72,6.25,27.50,271.96,137.98,50.74
Jagatsinghpur,55.62,19.36,34.80,2.43,5.34,219.59,1581.29,1370.29,86.66,24.37,0.51,2.09,7.71,39.05,506.51,8.54,0.99,11.61,40.61,40.55,99.84
Jajpur,54.26,65.27,120.29,16.37,12.37,75.59,3519.75,2498.82,70.99,178.13,76.02,42.67,29.05,53.99,185.87,16.97,1.38,8.15,224.15,131.39,58.62
Jharsuguda,7.71,6.83,88.67,0.40,2.52,629.94,987.06,463.33,46.94,26.71,473.48,1772.41,10.54,14.54,138.01,16.32,0.84,5.12,53.57,488.85,912.57
Kalahandi,32.63,17.22,52.76,1.76,4.97,282.43,2256.76,1457.29,64.57,20.62,1.85,8.96,13.45,5.69,42.30,1.80,1.20,66.56,35.87,8.74,24.35
Kandhamal,2.69,6.10,226.54,0.78,2.06,264.50,891.74,551.40,61.83,7.84,0.43,5.43,5.25,4.45,84.89,2.52,0.02,0.70,15.60,4.90,31.38
Kendrapara,126.20,26.13,20.71,3.22,3.30,102.38,2594.04,2077.92,80.10,14.16,3.51,24.77,10.50,26.38,251.26,3.72,0.21,5.69,28.38,30.10,106.06
Keonjhar,40.57,28.63,70.57,1.23,7.64,623.65,2083.04,1251.78,60.09,133.06,77.69,58.39,6.84,8.78,128.31,1.16,0.45,38.94,141.06,86.92,61.62
Khordha,179.84,133.33,74.14,19.18,134.77,702.72,4135.78,3918.01,94.73,186.99,81.17,43.41,35.70,57.60,161.36,54.80,133.60,243.82,277.48,272.37,98.16
Koraput,147.31,8.50,5.77,0.00,13.83,,1911.04,1011.42,52.92,216.07,15.14,7.00,11.30,17.25,152.59,3.24,0.05,1.61,230.62,32.44,14.07
Malkangiri,22.40,1.34,5.99,0.57,1.81,318.61,537.93,392.22,72.91,20.82,0.32,1.55,8.44,1.24,14.64,0.57,0.06,10.31,29.83,1.62,5.43
Mayurbhanj,50.96,30.12,59.10,16.68,4.22,25.28,2350.05,1575.52,67.04,33.88,34.89,102.96,8.30,3.34,40.25,14.66,8.25,56.26,56.84,46.48,81.76
Nabarangpur,19.67,8.80,44.72,2.09,4.34,207.88,1167.41,766.23,65.63,11.01,2.21,20.11,8.25,3.84,46.59,1.15,0.03,2.46,20.41,6.09,29.82
Nayagarh,13.94,73.69,528.61,1.76,18.52,1050.58,1976.19,1633.24,82.65,12.93,6.02,46.53,10.84,14.71,135.73,2.48,2.06,83.10,26.24,22.78,86.82
Nuapada,7.08,48.22,681.47,1.63,2.31,141.38,715.47,691.06,96.59,14.79,1.71,11.58,4.25,3.37,79.18,1.34,0.48,35.53,20.39,5.56,27.26
Puri,124.69,204.83,164.27,4.23,14.16,334.80,2533.65,2793.51,110.26,65.65,31.05,47.29,11.77,9.35,79.43,60.02,2.01,3.35,137.44,42.41,30.86
Rayagada,28.97,77.03,265.92,8.69,3.26,37.53,1034.72,1098.15,106.13,32.08,20.08,62.61,16.16,2.14,13.23,3.39,0.29,8.43,51.63,22.51,43.60
Sambalpur,52.40,54.46,103.95,1.66,28.39,1712.46,2414.89,1398.24,57.90,46.47,43.47,93.55,28.38,5.51,19.43,16.30,7.35,45.08,91.15,56.33,61.80
Subarnapur,14.19,10.65,75.06,2.39,2.01,84.17,1213.23,837.59,69.04,38.98,12.68,32.53,3.29,2.08,63.19,2.55,1.85,72.80,44.82,16.62,37.07
Sundargarh,26.08,18.63,71.45,2.23,7.51,336.33,3579.68,1895.40,52.95,111.26,38.48,34.58,20.49,9.83,47.99,13.90,3.75,27.00,145.65,52.06,35.74
