district,shishu_no_of_a_cs,sanctioned_amt,disbursement_amt,kishore_no_of_a_cs,sanctioned_amt,disbursement_amt,tarun_no_of_a_cs,sanctioned_amt,disbursemen_t_amt,tarun_plus_no_of_a_cs,sanctioned_amt,disbursement_amt,total_no_of_a_cs,sanctioned_amt,disbursement_amt
Angul,35936,130.46,129.48,18215,178.56,175.43,897,72.31,70.98,0,0,0,55048,381.33,375.89
Balangir,46581,173.69,173.09,23752,205.78,203.55,898,71.13,69.65,4,0.45,0.37,71235,451.04,446.66
Balasore,50522,180.64,180,31822,327,323.4,1709,134.8,131.7,0,0,0,84053,642.45,635.11
Bargarh,47145,168.18,167.95,24018,209.02,207.81,649,53.27,52.09,0,0,0,71812,430.47,427.85
Bhadrak,41180,150.25,149.91,28815,267.44,266.32,1189,94.74,94.01,0,0,0,71184,512.43,510.24
Boudh,10727,40.44,40.2,6168,58.82,57.86,350,28.76,28.33,1,0.2,0.2,17246,128.22,126.60
Cuttack,89599,322.39,322.14,40932,416.75,412.35,2872,235.36,230.66,0,0,0,133403,974.49,965.15
Deogarh,5367,18.58,18.37,1760,21.2,19.72,225,17.04,16.49,0,0,0,7352,56.82,54.58
Dhenkanal,33105,120.26,120.1,15282,150.9,150.14,927,74.9,74.52,0,0,0,49314,346.06,344.76
Gajapati,11125,39.69,39.56,4968,52.14,50.91,268,21.61,21.39,0,0,0,16361,113.44,111.86
Ganjam,82032,298.45,297.56,52182,518.98,514.27,2949,234.4,230.9,3,0.31,0.15,137166,1052.14,1042.88
Jagatsinghpur,40181,148.92,147.09,21269,206.53,203.68,1270,101.62,100.65,0,0,0,62720,457.07,451.42
Jajpur,37643,137.35,136.81,21642,241.16,239.51,1426,114.97,113.82,1,0.12,0.12,60712,493.59,490.27
Jharsuguda,16361,59.77,59.53,10988,99.54,98.22,502,40.62,39.8,4,0.17,0.09,27855,200.10,197.65
Kalahandi,37145,136.46,136.14,17628,152.79,152.34,698,59.31,58.57,2,0.35,0.35,55473,348.91,347.40
Kandhamal,18822,69.83,69.63,4899,50.82,49.83,388,32.29,31.43,1,0.15,0.15,24110,153.09,151.05
Kendrapara,19716,70.94,70.88,10749,118.62,117.2,907,71.31,70.77,0,0,0,31372,260.87,258.85
Keonjhar,29990,106.16,105.83,13081,150.84,148.38,1022,83.37,81.15,1,0.1,0.1,44094,340.47,335.46
Khordha,109890,405.55,404.89,49665,601.99,596.77,4489,809.31,802.36,9,1.51,1.51,164053,1818.37,1805.54
Koraput,34552,123.30,123.02,13805,128.51,127.2,883,72.75,71.43,0,0,0,49240,324.56,321.66
Malkangiri,21094,75.43,74.99,6110,49.71,48.93,285,22.22,22.18,1,0.13,0.13,27490,147.49,146.22
Mayurbhanj,67399,227.46,227.07,21875,230.49,226.19,1638,128.9,123.59,0,0,0,90912,586.84,576.84
Nabarangpur,17437,62.61,62.36,6958,57.98,57.62,464,36.38,36.2,0,0,0,24859,156.98,156.17
Nayagarh,30289,112.66,112.19,16748,156.93,156.01,836,66.37,65.77,2,0.26,0.26,47875,336.21,334.22
Nuapada,13302,50.64,50.43,7172,58.42,57.97,346,28.37,27.7,1,0.15,0.15,20821,137.59,136.25
Puri,52806,185.45,184.79,29379,306.11,304.28,1777,142.64,141.49,0,0,0,83962,634.20,630.56
Rayagada,29965,107.21,106.62,12643,110.1,109.25,462,36.27,35.87,0,0,0,43070,253.57,251.73
Sambalpur,32803,120.41,120,15535,182.87,181.17,1356,107.19,105.86,2,0.35,0.35,49696,410.83,407.39
Subarnapur,21997,82.31,82.05,10834,104.11,103.08,535,42.88,42.26,0,0,0,33366,229.30,227.39
Sundargarh,42158,152.95,152.49,22481,234.49,231.58,1560,122.85,120.38,0,0,0,66199,510.29,504.45
