district,export_credit_t,a,pct,education_t,a,pct,housing_t,a,pct,renewable_energy_t,a,pct,others_t,a,pct,social_infra_t,a,pct,total_t,a,pct
Angul,10.60,0.00,0.00,29.12,11.86,40.73,151.19,54.20,35.85,3.40,0.30,8.95,388.88,253.39,65.16,50.01,0.92,1.83,6366.59,4621.89,72.60
Balangir,5.00,0.00,0.00,23.26,7.24,31.14,198.24,56.70,28.60,4.81,0.00,0.00,277.44,105.28,37.95,77.17,7.29,9.44,6444.78,5753.47,89.27
Balasore,1285.00,62.00,4.82,56.23,14.67,26.08,223.77,106.33,47.52,6.05,0.03,0.47,638.01,461.45,72.33,132.17,0.10,0.08,10611.80,6885.03,64.88
Bargarh,2.00,0.00,0.00,19.59,8.52,43.47,180.21,65.61,36.41,4.09,0.06,1.53,138.40,73.44,53.06,29.34,0.10,0.32,7372.13,4805.78,65.19
Bhadrak,25.00,0.00,0.00,39.14,9.02,23.04,193.85,68.20,35.18,4.22,0.21,4.89,567.60,273.44,48.17,73.70,1.00,1.36,5510.37,3417.28,62.02
Boudh,5.10,0.00,0.00,6.18,1.52,24.66,115.69,17.87,15.45,3.10,0.00,0.00,61.64,24.49,39.73,7.12,0.00,0.01,1724.39,1021.17,59.22
Cuttack,23.24,0.00,0.00,80.50,41.80,51.93,1034.62,235.08,22.72,13.88,7.96,57.36,1801.74,976.26,54.18,115.62,1.88,1.63,15754.39,11069.21,70.26
Deogarh,2.00,0.00,0.00,5.81,0.71,12.29,59.05,5.97,10.11,0.59,0.00,0.00,72.99,7.81,10.70,6.32,0.02,0.26,1015.62,557.88,54.93
Dhenkanal,25.00,0.00,0.00,28.63,8.14,28.43,147.59,39.28,26.62,4.70,0.02,0.39,325.62,191.20,58.72,78.27,0.00,0.00,3845.38,2197.67,57.15
Gajapati,2.00,0.00,0.00,16.33,5.00,30.63,98.61,13.52,13.71,5.04,0.33,6.63,313.35,19.56,6.24,94.35,0.00,0.00,1713.04,802.27,46.83
Ganjam,42.00,0.00,0.00,95.27,40.32,42.32,588.96,295.32,50.14,1.20,2.61,218.18,645.00,289.30,44.85,24.68,0.41,1.67,13628.47,10259.31,75.28
Jagatsinghpur,2.00,0.00,0.00,83.90,7.95,9.47,95.66,52.22,54.59,3.48,0.05,1.48,204.46,176.63,86.39,88.16,0.11,0.13,4227.56,2749.80,65.04
Jajpur,2.00,0.00,0.00,40.25,13.07,32.46,166.61,128.70,77.24,3.73,0.19,5.20,389.48,282.51,72.53,64.90,0.11,0.18,8201.57,5231.00,63.78
Jharsuguda,5.00,0.00,0.00,10.56,7.33,69.42,166.77,49.43,29.64,7.09,0.09,1.24,96.67,29.97,31.00,82.01,0.03,0.04,3542.00,3404.19,96.11
Kalahandi,15.00,0.00,0.00,19.23,5.78,30.07,186.83,47.52,25.44,2.67,0.03,0.95,153.32,83.65,54.56,46.17,5.82,12.60,4296.42,3228.49,75.14
Kandhamal,3.15,0.00,0.00,8.82,2.35,26.66,51.01,27.88,54.65,1.30,1.71,131.90,94.03,36.86,39.20,40.94,0.80,1.96,2115.48,1030.97,48.73
Kendrapara,20.60,0.00,0.00,17.18,7.19,41.87,74.69,37.67,50.44,2.66,0.01,0.50,247.00,156.80,63.48,81.99,0.00,0.00,4406.81,3151.48,71.51
Keonjhar,2.00,0.00,0.00,15.22,7.82,51.35,140.98,58.94,41.81,2.64,0.18,6.69,767.93,395.48,51.50,59.97,1.55,2.59,5773.93,4199.10,72.73
Khordha,6315.58,366.21,5.80,430.30,152.46,35.43,1510.79,367.60,24.33,34.56,59.33,171.68,3752.48,1068.70,28.48,887.04,67.97,7.66,50909.60,30174.66,59.27
Koraput,1.12,0.00,0.00,39.85,8.78,22.03,169.98,62.73,36.90,31.21,0.25,0.80,226.25,93.14,41.16,131.15,0.31,0.24,5900.02,2951.11,50.02
Malkangiri,5.20,0.00,0.00,2.15,0.81,37.60,48.02,6.13,12.76,0.07,0.47,657.68,87.36,19.79,22.66,59.07,0.00,0.00,1044.21,676.81,64.82
Mayurbhanj,22.44,0.00,0.00,51.88,8.05,15.52,199.65,60.80,30.45,3.59,0.64,17.82,925.57,517.98,55.96,22.47,1.38,6.16,5788.23,3975.28,68.68
Nabarangpur,2.46,0.00,0.00,22.36,2.38,10.66,55.45,23.87,43.05,3.79,0.31,8.26,115.99,50.90,43.88,53.84,3.35,6.23,1970.39,1435.97,72.88
Nayagarh,25.00,0.00,0.00,11.63,6.82,58.63,219.56,62.69,28.55,1.21,2.87,237.13,282.67,233.17,82.49,48.12,0.99,2.06,3790.01,2689.77,70.97
Nuapada,4.25,0.00,0.00,7.65,2.21,28.90,80.20,14.82,18.48,3.23,0.10,3.09,75.85,28.85,38.03,47.50,2.54,5.34,1454.75,1123.44,77.23
Puri,6.12,7.00,114.38,22.81,25.17,110.32,157.63,88.29,56.01,1.39,5.75,413.90,556.95,517.31,92.88,67.84,0.06,0.09,6270.47,5060.73,80.71
Rayagada,2.00,0.00,0.00,19.59,6.31,32.24,179.41,46.19,25.75,6.71,0.14,2.01,89.33,55.87,62.54,57.27,1.63,2.85,2639.88,2062.39,78.12
Sambalpur,27.30,1.50,5.49,77.55,23.99,30.93,219.40,71.73,32.69,3.25,0.02,0.50,187.37,125.33,66.89,192.46,1.26,0.65,6584.68,4360.68,66.22
Subarnapur,5.10,0.00,0.00,10.34,2.71,26.26,74.70,32.22,43.14,1.90,0.14,7.41,56.83,32.05,56.40,40.25,0.10,0.25,2314.90,1397.85,60.38
Sundargarh,550.00,4047.99,736.00,65.52,41.48,63.31,432.73,62.28,14.39,21.48,0.18,0.83,481.62,107.59,22.34,90.33,0.04,0.04,15328.49,14877.99,97.06
