district,shg,amount
Angul,10373,108796259.00
Balangir,8930,60621108.00
Balasore,17472,173797643.00
Bargarh,8083,82588885.00
Bhadrak,13676,134193247.00
Boudh,3209,30429550.00
Cuttack,20575,210174789.00
Deogarh,4465,41973374.00
Dhenkanal,9291,99246159.00
Gajapati,3909,24716641.00
Ganjam,19156,165906995.00
Jajpur,13888,121692004.00
Jharsuguda,4099,37389001.00
Kalahandi,7060,54657870.00
Kandhamal,5924,51198743.00
Kendrapara,12619,137093340.00
Keonjhar,15768,152933144.00
Khordha,13934,202583627.00
Koraput,5844,33597910.00
Malkangiri,3796,24960381.00
Mayurbhanj,25392,258258575.00
Nabarangpur,4420,24362767.00
Nayagarh,10637,131548491.00
Nuapada,4350,31277027.00
Puri,19404,224477805.00
Rayagada,5033,28101486.00
Sambalpur,8254,82814255.00
Subarnapur,4632,45535189.00
Sundargarh,10560,109787036.00
