district,branches_rural,semi_urban,urban,total_branches,banking_correspondent_rural,semi_urban,urban,total_bc,out_of_total_bcs_male_bcs,out_of_total_bcs_female_bcs,out_of_total_bcs_transgender_bcs,out_of_total_bcs_wshg_members,out_of_total_bcs_fixed_bc_points,out_of_total_bcs_no_of_active_bcs,atms_rural,semi_urban,urban,total_atms
Angul,111,84,5,200,842,148,94,1084,768,295,0,152,752,958,79,189,4,272
Balangir,101,93,5,199,1355,603,167,2125,1812,313,0,126,1488,2078,23,175,2,200
Balasore,174,64,54,292,1867,411,299,2577,1907,670,1,309,1946,2438,112,83,178,373
Bargarh,124,72,5,201,1039,210,36,1285,1078,207,0,93,933,1251,53,142,5,200
Bhadrak,111,26,30,167,1173,156,210,1539,1164,375,0,157,1248,1485,56,26,156,238
Boudh,31,22,1,54,278,71,7,356,293,63,0,45,291,342,4,45,0,49
Cuttack,235,40,216,491,1889,207,583,2679,2020,659,0,109,2013,2541,153,65,410,628
Deogarh,24,19,1,44,188,61,3,252,179,73,0,39,187,239,11,35,1,47
Dhenkanal,93,59,1,153,552,159,9,720,588,161,0,90,469,632,55,118,2,175
Gajapati,44,24,2,70,354,112,9,475,331,144,0,108,355,462,30,51,5,86
Ganjam,217,150,109,476,2274,559,528,3361,2645,716,0,201,2575,3318,102,227,272,601
Jagatsinghpur,121,56,2,179,1378,158,249,1785,1358,427,0,130,1444,1695,82,142,3,227
Jajpur,173,63,2,238,1906,241,272,2419,1809,610,0,146,1904,2325,136,182,1,319
Jharsuguda,37,66,3,106,244,87,36,367,291,78,0,31,229,350,11,134,0,145
Kalahandi,106,66,3,175,1421,204,124,1749,1513,236,0,80,1336,1711,80,87,2,169
Kandhamal,42,39,0,81,402,225,26,653,515,138,0,80,464,645,9,78,0,87
Kendrapara,104,46,1,151,714,271,103,1088,754,334,0,146,755,1022,57,137,1,195
Keonjhar,129,106,0,235,1348,231,280,1859,1533,326,0,128,1464,1770,73,204,2,279
Khordha,183,71,507,761,1357,215,1347,2919,2074,846,0,90,2085,2860,113,174,973,1260
Koraput,82,63,6,151,805,183,112,1100,889,211,0,77,770,1096,26,136,4,166
Malkangiri,41,21,2,64,408,115,7,530,432,98,0,54,359,495,12,39,0,51
Mayurbhanj,200,50,50,300,1746,306,538,2590,1967,623,0,309,1822,2451,115,93,104,312
Nabarangpur,52,38,2,92,534,195,5,734,619,114,0,83,444,708,8,60,1,69
Nayagarh,99,44,0,143,966,380,163,1509,1239,270,0,124,984,1445,70,86,0,156
Nuapada,46,32,0,78,501,84,16,601,490,111,0,78,363,589,29,42,1,72
Puri,161,29,64,254,1607,190,487,2284,1747,537,0,148,1717,2172,114,43,151,308
Rayagada,68,42,2,112,495,97,25,617,530,87,0,35,375,601,37,91,1,129
Sambalpur,79,34,99,212,489,96,180,765,601,164,0,75,497,732,32,37,181,250
Subarnapur,53,30,4,87,564,135,57,756,676,80,0,38,578,740,18,73,1,92
Sundargarh,123,55,110,288,888,218,151,1257,916,341,0,119,900,1189,110,103,199,412
