district,target_2024_25_fy_physical_shgs_3,financial_inr_in_lakh_4,cummulative_application_sponsored_to_bank_branches_current_year_physical_shgs_5,financial_inr_in_lakh_6,cumulative_achievement_current_year_physical_shgs_7,financial_inr_in_lakh_8,pct_achievement_physical_shgs_9_7_3,financial_inr_in_lakh_10_8_4,application_pending_at_bank_branch_current_year_11_5_7,average_l_o_a_n_s_i_z_e_12_8_7
Angul,16130,79992.90,14830,72517.33,9425,44933.04,58,56,5405,4.77
Balangir,12050,48264.77,10721,49126.30,8082,25656.27,67,53,2639,3.17
Balasore,24770,129801.35,20895,139652.39,14457,70830.52,58,55,6438,4.90
Bargarh,11750,54202.52,7978,37378.71,6305,24002.74,54,44,1673,3.81
Bhadrak,17700,94260.45,14715,85292.47,11414,58753.44,64,62,3301,5.15
Boudh,3980,19762.22,3369,15746.87,3115,11889.75,78,60,254,3.82
Cuttack,24385,128411.50,19704,121311.99,13256,70188.51,54,55,6448,5.29
Deogarh,4450,19006.23,3801,16473.05,3173,12075.10,71,64,628,3.81
Dhenkanal,12090,60443.04,11037,65234.15,7252,37901.09,60,63,3785,5.23
Gajapati,6195,25042.45,4975,27222.10,3050,12428.20,49,50,1925,4.07
Ganjam,31365,156287.15,26675,158076.44,19042,88363.14,61,57,7633,4.64
Jagatsinghpur,13990,72757.74,11899,78553.81,7941,40443.97,57,56,3958,5.09
Jajpur,19500,105695.60,15958,84454.20,13749,68650.63,71,65,2209,4.99
Jharsuguda,4805,23310.24,3868,18585.28,3390,13157.72,71,56,478,3.88
Kalahandi,9985,40572.66,10254,44968.00,6775,20738.31,68,51,3479,3.06
Kandhamal,7645,33990.77,7045,35225.00,5037,17772.02,66,52,2008,3.53
Kendrapara,15900,84865.11,10670,73089.63,6699,34168.57,42,40,3971,5.10
Keonjhar,17035,81627.75,12682,67774.99,9415,47277.89,55,58,3267,5.02
Khordha,19600,120937.00,17752,144542.57,10407,68094.26,53,56,7345,6.54
Koraput,10045,40210.89,8664,42669.80,6594,20095.95,66,50,2070,3.05
Malkangiri,4920,19951.28,4905,24502.10,3946,13261.84,80,66,959,3.36
Mayurbhanj,26535,134164.63,16515,88533.01,13215,67776.32,50,51,3300,5.13
Nabarangpur,7290,29662.25,4825,23929.88,3250,10753.67,45,36,1575,3.31
Nayagarh,11740,69681.05,11490,78913.40,7179,42869.89,61,62,4311,5.97
Nuapada,5440,22154.19,5292,28049.15,2101,6562.66,39,30,3191,3.12
Puri,21415,114356.00,18745,136598.30,10389,61511.39,49,54,8356,5.92
Rayagada,7120,30119.29,4518,22680.60,2832,8207.00,40,27,1686,2.90
Sambalpur,8880,48656.00,7889,54341.86,6136,27189.35,69,56,1753,4.43
Subarnapur,5790,24992.23,5121,27289.65,4527,17399.60,78,70,594,3.84
Sundargarh,17500,86820.78,13087,67095.24,9306,39919.92,53,46,3781,4.29
