district,no_of_blocks,no_of_gps,no_of_bhqs,total_gps_bh_qs,no_of_service_ready_bhqs,no_of_service_ready_gps,no_of_service_ready_bhqs_gps,no_of_acitve_connectivi_ty_bhqs_gps,pct_of_acitve_connec_tivity
Angul,8,219,8,227,8,219,227,165,72.69
Balangir,14,314,14,328,14,314,328,193,58.84
Balasore,10,71,0,71,0,71,71,60,84.51
Bargarh,12,253,12,265,12,253,265,188,70.94
Bhadrak,7,30,0,30,0,30,30,19,63.33
Boudh,2,6,0,6,0,6,6,0,0.00
Cuttack,11,31,0,31,0,31,31,25,80.65
Deogarh,3,10,0,10,0,10,10,8,80.00
Dhenkanal,7,15,0,15,0,15,15,9,60.00
Gajapati,5,21,0,21,0,21,21,13,61.90
Ganjam,13,28,0,28,0,28,28,23,82.14
Jagatsinghpur,3,4,0,4,0,4,4,2,50.00
Jajpur,7,31,0,31,0,31,31,31,100.00
Jharsuguda,5,78,5,83,5,78,83,49,59.04
Kalahandi,12,166,7,173,7,166,173,121,69.94
Kandhamal,7,12,0,12,0,12,12,6,50.00
Kendrapara,5,18,0,18,0,18,18,13,72.22
Keonjhar,8,97,4,101,4,97,101,58,57.43
Khordha,8,22,0,22,0,22,22,18,81.82
Koraput,14,239,14,253,14,239,253,149,58.89
Malkangiri,7,103,7,110,7,103,110,101,91.82
Mayurbhanj,18,81,4,85,4,81,85,30,35.29
Nabarangpur,10,189,10,199,10,189,199,116,58.29
Nayagarh,7,18,0,18,0,18,18,14,77.78
Nuapada,5,131,5,136,5,131,136,84,61.76
Puri,11,38,0,38,0,38,38,33,86.84
Rayagada,11,181,11,192,11,181,192,130,67.71
Sambalpur,9,138,9,147,9,138,147,96,65.31
Subarnapur,6,109,6,115,6,109,115,88,76.52
Sundargarh,17,279,17,296,17,279,296,191,64.53
