district,population,total_branches,total_bc,total_atms,total_banking_network,branches_per_1_lakh_population,bcs_per_1_lakh_population,atms_per_1_lakh_population,banking_network_per_1_lakh_population
Angul,1273821,200,1084,272,1556,15.70,85.10,21.35,122.15
Balangir,1648997,199,2125,200,2524,12.07,128.87,12.13,153.06
Balasore,2320529,292,2577,373,3242,12.58,111.05,16.07,139.71
Bargarh,1481255,201,1285,200,1686,13.57,86.75,13.50,113.82
Bhadrak,1506337,167,1539,238,1944,11.09,102.17,15.80,129.05
Boudh,441162,54,356,49,459,12.24,80.70,11.11,104.04
Cuttack,2624470,491,2679,628,3798,18.71,102.08,23.93,144.71
Deogarh,312520,44,252,47,343,14.08,80.63,15.04,109.75
Dhenkanal,1192811,153,720,175,1048,12.83,60.36,14.67,87.86
Gajapati,577817,70,475,86,631,12.11,82.21,14.88,109.20
Ganjam,3529031,476,3361,601,4438,13.49,95.24,17.03,125.76
Jagatsinghpur,1136971,179,1785,227,2191,15.74,157.00,19.97,192.71
Jajpur,1827192,238,2419,319,2976,13.03,132.39,17.46,162.87
Jharsuguda,579505,106,367,145,618,18.29,63.33,25.02,106.64
Kalahandi,1576869,175,1749,169,2093,11.10,110.92,10.72,132.73
Kandhamal,733110,81,653,87,821,11.05,89.07,11.87,111.99
Kendrapara,1440361,151,1088,195,1434,10.48,75.54,13.54,99.56
Keonjhar,1801733,235,1859,279,2373,13.04,103.18,15.49,131.71
Khordha,2251673,761,2919,1260,4940,33.80,129.64,55.96,219.39
Koraput,1379647,151,1100,166,1417,10.94,79.73,12.03,102.71
Malkangiri,613192,64,530,51,645,10.44,86.43,8.32,105.19
Mayurbhanj,2519738,300,2590,312,3202,11.91,102.79,12.38,127.08
Nabarangpur,1220946,92,734,69,895,7.54,60.12,5.65,73.30
Nayagarh,962789,143,1509,156,1808,14.85,156.73,16.20,187.79
Nuapada,610382,78,601,72,751,12.78,98.46,11.80,123.04
Puri,1698730,254,2284,308,2846,14.95,134.45,18.13,167.54
Rayagada,967911,112,617,129,858,11.57,63.75,13.33,88.64
Sambalpur,1041099,212,765,250,1227,20.36,73.48,24.01,117.86
Subarnapur,610183,87,756,92,935,14.26,123.90,15.08,153.23
Sundargarh,2093437,288,1257,412,1957,13.76,60.04,19.68,93.48
