district,cumulative_till_31122024_total_application,disbursed_amount_in_rs_lakhs
Angul,32,24.27
Balangir,59,73.21
Balasore,78,78.56
Bargarh,64,64.26
Bhadrak,83,56.83
Boudh,25,21.36
Cuttack,197,235.02
Deogarh,13,4.45
Dhenkanal,92,90.44
Gajapati,55,49.39
Ganjam,154,157.02
Jagatsinghpur,11,13.65
Jajpur,57,41.92
Jharsuguda,35,40.99
Kalahandi,73,71.80
Kandhamal,12,7.66
Kendrapara,18,15.55
Keonjhar,18,11.87
Khordha,171,222.05
Koraput,97,134.14
Malkangiri,21,10.25
Mayurbhanj,44,27.63
Nabarangpur,4,2.54
Nayagarh,30,26.28
Nuapada,18,11.72
Puri,90,79.70
Rayagada,42,30.38
Sambalpur,78,79.52
Subarnapur,34,30.49
Sundargarh,52,44.68
