district,"micro,_small_and_medium_enterprises_small_services_t",a,pct,medium_manufacturing_t,a,pct,medium_services_t,a,pct,khadi_and_village_industries_t,a,pct,others_under_msme_t,a,pct,total_msme_t,a,pct
Angul,560.00,539.81,96.39,315.00,219.91,69.81,385.00,233.85,60.74,70.00,3.88,5.54,105.00,51.19,48.75,3500.00,2789.76,79.71
Balangir,376.41,337.76,89.73,211.73,115.39,54.50,258.78,116.50,45.02,47.05,4.20,8.93,70.58,30.24,42.85,2352.58,1810.01,76.94
Balasore,742.17,572.00,77.07,417.47,268.58,64.34,510.24,377.03,73.89,92.77,3.90,4.20,139.16,80.51,57.86,4638.55,3787.50,81.65
Bargarh,293.30,330.89,112.82,124.22,71.33,57.42,186.33,64.53,34.63,86.26,3.07,3.56,189.78,21.55,11.35,1725.30,1799.00,104.27
Bhadrak,300.04,189.43,63.14,168.77,15.78,9.35,206.27,7.85,3.81,37.50,4.30,11.47,56.26,34.99,62.19,1875.22,1210.19,64.54
Boudh,62.28,55.28,88.76,35.03,3.68,10.50,42.82,7.19,16.80,7.78,0.45,5.78,11.68,5.75,49.28,389.24,276.22,70.96
Cuttack,1449.26,1181.96,81.56,613.80,725.11,118.13,920.71,740.18,80.39,426.25,9.28,2.18,937.76,121.65,12.97,8525.07,6715.64,78.78
Deogarh,29.66,31.44,106.00,16.69,0.00,0.00,20.39,0.19,0.95,3.71,1.56,42.06,5.56,4.46,80.10,185.40,153.81,82.96
Dhenkanal,200.06,133.02,66.49,112.54,24.98,22.20,137.54,28.19,20.50,25.01,2.50,9.98,37.51,34.81,92.80,1250.40,764.46,61.14
Gajapati,77.61,32.55,41.94,32.87,0.65,1.98,49.30,10.16,20.62,22.82,0.69,3.04,50.21,4.78,9.52,456.50,296.21,64.89
Ganjam,1044.01,659.16,63.14,587.26,246.11,41.91,717.76,279.68,38.97,130.50,6.89,5.28,195.75,61.31,31.32,6525.08,4702.35,72.07
Jagatsinghpur,321.35,187.72,58.42,180.76,5.29,2.92,220.93,14.19,6.42,40.17,1.77,4.40,60.25,30.67,50.91,2008.44,1081.27,53.84
Jajpur,575.68,496.77,86.29,323.82,26.20,8.09,395.78,66.95,16.91,71.96,3.85,5.35,107.94,35.09,32.51,3598.00,2100.98,58.39
Jharsuguda,326.96,378.13,115.65,183.91,288.24,156.72,224.78,301.89,134.30,40.87,2.38,5.82,61.30,11.98,19.54,2043.50,2225.84,108.92
Kalahandi,233.59,290.49,124.36,131.40,24.41,18.58,160.59,19.23,11.97,29.20,0.34,1.17,43.80,21.78,49.73,1459.95,1485.63,101.76
Kandhamal,159.92,55.88,34.94,89.96,0.00,0.00,109.95,3.44,3.13,19.99,0.37,1.83,29.99,1.12,3.74,999.50,385.96,38.62
Kendrapara,202.42,104.33,51.54,113.86,0.52,0.46,139.17,7.01,5.04,25.30,3.17,12.54,37.95,30.10,79.30,1265.14,777.91,61.49
Keonjhar,401.60,508.33,126.58,225.90,92.06,40.75,276.10,129.79,47.01,50.20,5.99,11.94,75.30,27.30,36.26,2509.99,2208.00,87.97
Khordha,5095.20,4743.81,93.10,2866.05,3002.04,104.74,3502.95,3444.25,98.32,636.90,12.78,2.01,955.35,647.09,67.73,31845.00,22062.94,69.28
Koraput,481.94,242.16,50.25,271.09,72.99,26.93,331.33,84.76,25.58,60.24,2.52,4.18,90.36,17.89,19.79,3012.11,1572.72,52.21
Malkangiri,40.80,55.22,135.33,22.95,0.00,0.00,28.05,8.43,30.07,5.10,2.00,39.24,7.65,1.24,16.19,255.00,220.46,86.46
Mayurbhanj,312.59,282.02,90.22,175.83,15.24,8.67,214.91,25.44,11.84,39.07,12.29,31.45,58.61,30.55,52.13,1953.70,1516.76,77.64
Nabarangpur,84.12,81.43,96.80,47.32,0.54,1.15,57.83,3.89,6.73,10.52,0.18,1.75,15.77,1.45,9.20,525.76,495.81,94.30
Nayagarh,172.13,67.84,39.41,96.82,4.52,4.67,118.34,3.85,3.25,21.52,2.97,13.80,32.27,33.80,104.71,1075.80,682.12,63.41
Nuapada,78.01,46.33,59.38,43.88,0.00,0.00,53.63,0.00,0.00,9.75,0.26,2.65,14.63,3.46,23.67,487.59,299.83,61.49
Puri,414.82,165.92,40.00,233.34,31.14,13.35,285.19,70.93,24.87,51.85,4.51,8.69,77.78,86.56,111.29,2592.64,1518.83,58.58
Rayagada,182.84,139.08,76.07,102.84,0.25,0.24,125.70,2.10,1.67,22.85,1.67,7.29,34.28,14.27,41.63,1142.72,770.66,67.44
Sambalpur,528.64,569.31,107.69,297.36,117.75,39.60,363.44,157.36,43.30,66.08,2.22,3.36,99.12,61.53,62.08,3304.00,2449.03,74.12
Subarnapur,132.40,50.99,38.51,56.08,6.26,11.17,84.11,4.57,5.44,38.94,3.46,8.88,85.67,24.69,28.82,778.84,401.79,51.59
Sundargarh,1568.42,1274.60,81.27,882.24,1773.20,200.99,1078.29,1484.51,137.67,196.05,3.50,1.79,294.08,30.43,10.35,9802.64,8445.91,86.16
