district,col_2,mar_24_cd_ratio,jun_24_cd_ratio,sep_24_cd_ratio,dec_24_total_deposit,col_7,total_advance_utilized_in_the_state,col_9,cd_ratio
Balangir,,75.54,74.6,79.26,10076.28,8061.34,,,80.00
Balasore,,63.96,64.26,64.73,19915.67,12981.81,,,65.18
Bargarh,,87.75,85.98,90.17,9952.76,8121.48,,,81.60
Bhadrak,,74.73,74.97,79.19,9606.20,7289.68,,,75.89
Boudh,,86.81,89.48,95.29,2075.00,1818.82,,,87.65
Dhenkanal,,66.44,77.05,76.24,9277.23,7129.31,,,76.85
Ganjam,,63.95,65.7,66.89,30917.47,20051.13,,,64.85
Jajpur,,90.77,90.53,98.72,15813.84,13664.73,,,86.41
Jharsuguda,,246.77,228.32,222.11,8628.89,18933.09,,,219.42
Kalahandi,,106.34,105.17,105.72,6822.65,8065.99,,,118.22
Khordha,,75.42,76.72,74.07,208417.89,150991.20,,,72.45
Koraput,,64.91,64.49,65.54,8813.70,5837.37,,,66.23
Nabarangpur,,77.17,78.66,78.29,3409.97,2747.45,,,80.57
Nayagarh,,78.3,78.06,79.36,5718.24,4634.48,,,81.05
Nuapada,,66.72,69.75,70.78,2887.09,1913.38,,,66.27
Sambalpur,,106.06,94.79,95.28,29598.09,29440.01,,,99.47
Subarnapur,,80.67,78.53,84.54,3195.56,2745.22,,,85.91
Sundargarh,,55.3,54.28,65.38,32958.30,22037.48,,,66.86
