district,period,as_on_date,fy,acp_target_achievement__acp_agri_achievement,acp_target_achievement__acp_agri_pct,acp_target_achievement__acp_agri_target,acp_target_achievement__acp_msme_achievement,acp_target_achievement__acp_msme_pct,acp_target_achievement__acp_msme_target,acp_target_achievement__acp_other_psa_achievement,acp_target_achievement__acp_other_psa_pct,acp_target_achievement__acp_other_psa_target,acp_target_achievement__acp_total_achievement,acp_target_achievement__acp_total_pct,acp_target_achievement__acp_total_target,atm_network__atm_rural,atm_network__atm_rural_growth_abs,atm_network__atm_rural_growth_pct,atm_network__atm_rural_prev_fy,atm_network__atm_rural_prev_q,atm_network__atm_semi_urban,atm_network__atm_semi_urban_growth_abs,atm_network__atm_semi_urban_growth_pct,atm_network__atm_semi_urban_prev_fy,atm_network__atm_semi_urban_prev_q,atm_network__atm_total_growth_abs,atm_network__atm_total_growth_pct,atm_network__atm_total_prev_fy,atm_network__atm_total_prev_q,atm_network__atm_urban,atm_network__atm_urban_growth_abs,atm_network__atm_urban_growth_pct,atm_network__atm_urban_prev_fy,atm_network__atm_urban_prev_q,atm_network__total_atm,branch_network__branch_rural,branch_network__branch_rural_growth_abs,branch_network__branch_rural_growth_pct,branch_network__branch_rural_prev_fy,branch_network__branch_rural_prev_q,branch_network__branch_semi_urban,branch_network__branch_semi_urban_growth_abs,branch_network__branch_semi_urban_growth_pct,branch_network__branch_semi_urban_prev_fy,branch_network__branch_semi_urban_prev_q,branch_network__branch_total_growth_abs,branch_network__branch_total_growth_pct,branch_network__branch_total_prev_fy,branch_network__branch_total_prev_q,branch_network__branch_urban,branch_network__branch_urban_growth_abs,branch_network__branch_urban_growth_pct,branch_network__branch_urban_prev_fy,branch_network__branch_urban_prev_q,branch_network__total_branch,credit_deposit_ratio__advances_growth_abs,credit_deposit_ratio__advances_growth_pct,credit_deposit_ratio__advances_prev_fy,credit_deposit_ratio__advances_prev_quarter,credit_deposit_ratio__cd_ratio_benchmark,credit_deposit_ratio__cd_ratio_prev_fy,credit_deposit_ratio__cd_ratio_prev_quarter,credit_deposit_ratio__deposits_growth_abs,credit_deposit_ratio__deposits_growth_pct,credit_deposit_ratio__deposits_prev_fy,credit_deposit_ratio__deposits_prev_quarter,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_deposit
Balod,March 2023,31-03-2023,2022-23,865.16,89.7683,963.77,264.97,122.6543,216.03,74.75,76.6667,97.5,1204.88,94.3302,1277.3,37,10,37.037,27,32,46,-5,-9.8039,51,46,6,7.6923,78,79,1,1,,0,1,84,69,3,4.5455,66,69,36,-1,-2.7027,37,35,3,2.9126,103,105,1,1,_,0,1,106,250.87,17.3602,1445.09,1602.2,40,36.3353,35.7028,558.81,14.0507,3977.1,4487.6,37.3896,1695.96,4535.91
Baloda Bazar,March 2023,31-03-2023,2022-23,1465.35,128.3368,1141.8,533.78,164.7062,324.08,112.15,66.3452,169.04,2111.28,129.1366,1634.92,20,2,11.1111,18,18,72,3,4.3478,69,69,6,6.8182,88,88,2,1,100,1,1,94,48,-10,-17.2414,58,56,64,2,3.2258,62,64,-8,-6.6667,120,120,0,0,0,0,0,112,334.25,12.848,2601.57,2927.5,40,52.5355,54.1594,90.46,1.8267,4952.02,5405.34,58.2217,2935.82,5042.48
Balrampur,March 2023,31-03-2023,2022-23,272.97,111.4163,245,166.23,184.7,90,39.54,56.4696,70.02,478.74,118.2016,405.02,18,3,20,15,16,15,3,25,12,15,7,25.9259,27,31,1,1,_,0,0,34,57,8,16.3265,49,54,12,-3,-20,15,12,6,9.375,64,67,1,1,_,0,1,70,175.62,22.5269,779.6,927.38,40,36.5214,40.4468,246.54,11.5495,2134.64,2292.84,40.1154,955.22,2381.18
Bastar,March 2023,31-03-2023,2022-23,519.05,99.2258,523.1,544.71,162.5078,335.19,59.91,66.8862,89.57,1123.67,118.5481,947.86,22,3,15.7895,19,17,5,-4,-44.4444,9,4,4,3.7736,106,105,83,5,6.4103,78,84,110,72,6,9.0909,66,68,4,-4,-50,8,4,8,7.4766,107,111,39,6,18.1818,33,39,115,176.05,5.6998,3088.73,3096.97,40,62.114,60.8656,218.57,4.3954,4972.68,5088.21,62.8901,3264.78,5191.25
Bemetara,March 2023,31-03-2023,2022-23,1172.1,86.7554,1351.04,174.37,108.2909,161.02,41.2,62.5,65.92,1387.67,87.9396,1577.98,21,2,10.5263,19,20,30,-4,-11.7647,34,32,-1,-1.8868,53,53,1,1,_,0,1,52,52,3,6.1224,49,52,26,0,0,26,26,3,3.9474,76,79,1,0,0,1,1,79,247.25,16.8843,1464.38,1720.45,40,52.138,52.9075,429.59,15.2952,2808.66,3251.81,52.8566,1711.63,3238.25
Bijapur,March 2023,31-03-2023,2022-23,75.43,112.1302,67.27,30.85,490.461,6.29,8.19,71.3415,11.48,114.47,134.6072,85.04,8,0,0,8,8,11,0,0,11,10,0,0,19,18,0,0,0,0,0,19,36,1,2.8571,35,34,7,0,0,7,8,1,2.381,42,42,0,0,0,0,0,43,113.5,31.0789,365.2,468.01,40,38.2232,49.271,17.15,1.795,955.44,949.87,49.2191,478.7,972.59
Bilaspur,March 2023,31-03-2023,2022-23,1153.44,161.5394,714.03,3524.23,322.2684,1093.57,349.14,140.3239,248.81,5026.81,244.4459,2056.41,28,3,12,25,25,34,8,30.7692,26,30,25,8.4746,295,314,258,14,5.7377,244,259,320,72,1,1.4085,71,69,43,0,0,43,44,3,1.2,250,250,138,2,1.4706,136,137,253,3021.98,29.0923,10387.56,12417.64,40,46.5687,46.4922,3918.78,17.5684,22305.87,26709.09,51.1333,13409.54,26224.65
Dantewada,March 2023,31-03-2023,2022-23,38.48,55.7277,69.05,78.95,334.8176,23.58,16.64,215.8236,7.71,134.07,133.6157,100.34,6,0,0,6,6,43,1,2.381,42,42,1,2.0833,48,48,0,0,0,0,0,49,22,0,0,22,21,21,2,10.5263,19,21,2,4.878,41,42,0,0,0,0,0,43,1363.41,78.8034,1730.14,2047.96,40,77.1138,87.9681,191.92,8.554,2243.62,2328.07,127.017,3093.55,2435.54
Dhamtari,March 2023,31-03-2023,2022-23,1319.4,151.9783,868.15,466.45,151.775,307.33,84.8,86.1876,98.39,1870.65,146.8478,1273.87,21,3,16.6667,18,18,25,-3,-10.7143,28,23,0,0,92,87,46,0,0,46,46,92,53,-1,-1.8519,54,53,22,-6,-21.4286,28,22,2,1.8182,110,113,37,9,32.1429,28,38,112,492.67,20.7549,2373.75,2712.95,40,54.8328,57.7408,399.05,9.2179,4329.07,4698.5,60.6249,2866.42,4728.12
Durg,March 2023,31-03-2023,2022-23,1781.17,138.8426,1282.87,4691.28,487.4716,962.37,466.92,294.3453,158.63,6939.37,288.6749,2403.87,49,5,11.3636,44,47,29,-5,-14.7059,34,28,9,1.9912,452,445,383,9,2.4064,374,370,461,76,0,0,76,74,40,2,5.2632,38,40,13,4.5936,283,288,180,11,6.5089,169,174,296,2043.04,14.7077,13890.95,15830.42,40,50.6516,53.0603,2391.43,8.7201,27424.49,29834.75,53.4412,15933.99,29815.92
