District,Total Non-Priority NPA Amt,Sec Tot NPA Non No. Priorityrityrity,Other Amt (NPS),Other No. (NPS),Loan Amt Personal,Loan No Personal,Housing Amt (NPS),Housing No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
Eastern West Khasi Hills,49.85,35,36.07,28,13.14,6,0,0,0.64,1
East Garo Hills,380.09,229,252.91,140,127.18,89,0,0,0,0
East Jaintia Hills,483.07,189,191.21,147,53.66,41,238.2,1,0,0
East Khasi Hills,2931.32,1671,1960.21,1102,822.82,557,147.23,10,1.06,2
North Garo Hills,372.4,241,179.97,128,192.33,112,0,0,0.1,1
Ri Bhoi,1432.82,593,1319.5,526,90.86,63,21.76,2,0.7,2
South Garo Hills,251.08,160,133.54,90,117.54,70,0,0,0,0
South West Garo Hills,270.73,188,212.84,143,57.57,44,0,0,0.32,1
South West Khasi Hills,59.49,31,24.8,19,34.69,12,0,0,0,0
West Garo Hills,2437.8,1347,1290.46,740,1146.23,604,0.72,2,0.39,1
West Jaintia Hills,472.51,277,279.22,181,158.46,94,34.83,2,0,0
West Khasi Hills,121.67,68,90.83,34,30.84,34,0,0,0,0
