District,NULM NPA Amt,NULM NPA No.,NULM O/S Amt,NULM O/S No.,NULM Current Year Total Disbursement Amt,NULM Current Year Total Disbursement No.,Women SHG Beneficiary No.,Women SHG Amt,Women SHG No.,SHG Beneficiary No.,SHG Amt,SHG No.,Sep-I Amt,No. Sep-I
East Garo Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Jaintia Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Khasi Hills,51.91,19,23.04,28,3.61,3,2,1.91,2,2,1.91,2,1.7,1
Ri Bhoi,0,1,0,0,0,0,0,0,0,0,0,0,0,0
West Garo Hills,44.77,17,42.33,46,14.06,12,0,0,0,0,0,0,14.06,12
West Khasi Hills,0,0,0.24,1,0,0,0,0,0,0,0,0,0,0
