District,Small Amt,Small No.,Micro Amt,Micro No.,Ancillary Amt,Ancillary No.,Agri Infra Amt,Agri Infra No.,Term Loan Amt,Term Loan No.,Crop Amt,Crop No.
Eastern West Khasi Hills,0,0,119.03,93,3.89,4,25.37,96,28.84,60,398.41,968
East Garo Hills,0,0,252.1,711,8.84,9,405.88,1557,14.57,38,782.22,1776
East Jaintia Hills,291.73,16,640.39,247,28.25,18,149.64,397,48.46,64,39.24,61
East Khasi Hills,1454.27,122,6877.46,3217,623.71,117,1146.92,881,391.19,435,2427.53,4682
North Garo Hills,0,0,320.33,587,28.69,14,483.21,1693,0.17,1,1273.68,2726
Ri Bhoi,1473.44,17,826.1,808,167.21,288,472.64,1803,162.03,576,7721.42,13122
South Garo Hills,0,0,293.62,382,17.83,24,521.1,1281,38.43,69,290.59,886
South West Garo Hills,0.9,2,264.94,287,8.76,7,500.26,1984,8.71,38,1231.96,3032
South West Khasi Hills,4.78,3,99.58,63,1.4,1,70.7,108,4.16,10,111.62,242
West Garo Hills,47.94,5,1836.48,1951,121.04,72,671.9,2906,145.34,357,2126.39,4881
West Jaintia Hills,655.05,63,1332.97,717,147.38,93,148.82,284,21.76,37,858.02,1563
West Khasi Hills,21.99,3,618.65,372,0.81,1,85.31,438,26.73,48,1791.75,2935
