District,Total Msme NPA Amt (PS),Total Msme NPA No. (PS),Total Msme O/S Amt (PS),Total Msme O/S No. (PS),Agri Pct NPA,Total Agri NPA Amt (PS),Total Agri NPA No. (PS),Total Agri O/S Amt (PS),Total Agri O/S No. (PS)
Eastern West Khasi Hills,130.74,99,2819.73,1545,9.41,456.51,1128,4851.13,7714
East Garo Hills,271.24,725,3056.62,1803,20.83,1211.51,3380,5815.63,5261
East Jaintia Hills,932.36,264,10154.7,2342,5.3,265.59,540,5008.43,2822
East Khasi Hills,10785.27,3411,247827.51,18012,4.18,4589.35,6115,109799.71,29624
North Garo Hills,323.6,589,1899.37,1329,42.72,1785.75,4434,4180.33,6153
Ri Bhoi,2358.91,885,53524.73,5127,32.13,8523.3,15789,26525.55,34907
South Garo Hills,329.62,403,1539.41,889,27.75,867.95,2260,3127.48,3313
South West Garo Hills,293.43,300,2609.27,1220,35.05,1749.69,5061,4992.27,7791
South West Khasi Hills,117.68,72,1792.82,849,7.27,187.88,361,2584.74,3051
West Garo Hills,1968.14,1995,18805.03,7344,22.97,3064.67,8216,13344,14967
West Jaintia Hills,2006.42,807,19499.27,6062,6.33,1175.98,1977,18586.82,7124
West Khasi Hills,648.15,385,4261.09,2079,30.49,1904.6,3422,6247.39,7533
