District,Total Msme O/S Amt,Total Msme O/S No.,Other Msme Amt,Other Msme No.,Medium Amt,Medium No.,Small Amt,Small No.,Micro Amt,Micro No.
Eastern West Khasi Hills,2819.73,1545,250.44,298,0,0,318.85,14,2250.44,1233
East Garo Hills,3056.62,1803,159.05,216,0,0,196.02,26,2701.55,1561
East Jaintia Hills,10154.7,2342,167.8,105,0,0,2831.4,229,7155.5,2008
East Khasi Hills,247827.51,18012,269.3,111,85577.11,183,43705.64,887,118275.46,16831
North Garo Hills,1899.37,1329,110.77,27,0,0,200.66,69,1587.94,1233
Ri Bhoi,53524.73,5127,364.04,566,6722.22,22,20858.84,434,25579.63,4105
South Garo Hills,1539.41,889,74.74,25,0,0,132.38,40,1332.29,824
South West Garo Hills,2609.27,1220,96.08,32,0,0,372.76,46,2140.43,1142
South West Khasi Hills,1792.82,849,16.07,7,0,0,81.43,29,1695.32,813
West Garo Hills,18805.03,7344,727.65,601,266.58,4,2499.16,419,15311.64,6320
West Jaintia Hills,19499.27,6062,455.73,486,0,0,6239.35,562,12804.19,5014
West Khasi Hills,4261.09,2079,73.53,55,0,0,412.52,54,3775.04,1970
