District,Total MUDRA Disbursement Amt,Total MUDRA Disbursement No.,Tarun Amt,Tarun No.,Kishore Amt,Kishore No.,Sishu amt,Sishu No.
Eastern West Khasi Hills,122.07,28,77.66,9,41.91,14,2.5,5
East Garo Hills,481.95,568,181.7,24,159.42,125,140.83,419
East Jaintia Hills,563.85,139,359.91,44,196.85,77,7.09,18
East Khasi Hills,8023.58,7025,2691.24,337,3910.92,2542,1421.42,4146
North Garo Hills,171.59,108,62.58,8,98.91,36,10.1,64
Ri Bhoi,1680.62,1515,479.34,64,878.8,540,322.48,911
South Garo Hills,74.09,28,29.37,3,43.62,18,1.1,7
South West Garo Hills,142.63,45,62.25,7,78.67,34,1.71,4
South West Khasi Hills,135.66,46,69.5,9,62.4,28,3.76,9
West Garo Hills,2173.96,2078,887.08,114,705.64,393,581.24,1571
West Jaintia Hills,1309.99,724,511.6,65,694.55,377,103.84,282
West Khasi Hills,539.89,209,235.12,30,282.11,153,22.66,26
