District,Self Help Groups No.,DRI Scheme Amt,DRI Scheme No.,Scheduled Tribes Amt,Scheduled Tribes No.,Scheduled Castes Amt,Scheduled Castes No.,Small & Marginal Farmers Amt,Small & Marginal Farmers No.
Eastern West Khasi Hills,854,1.55,8,8872.47,7900,0,0,3968.87,7282
East Garo Hills,522,0,0,748.76,479,20.42,6,3196.96,4664
East Jaintia Hills,769,4.34,37,6085.89,3321,24.85,16,2080.76,2949
East Khasi Hills,1962,24.57,149,108586.22,48983,2517.82,1774,17158.1,26729
North Garo Hills,482,0.96,5,940.32,780,21.29,12,3448.62,4784
Ri Bhoi,1505,4.29,28,15499.51,14913,740.54,499,20255.79,30891
South Garo Hills,442,0,0,686.42,559,7.18,5,1544.71,2277
South West Garo Hills,653,0,0,1472.56,1545,57.75,25,4267.16,6181
South West Khasi Hills,553,0,0,3495.54,2981,3.11,6,1740.96,2724
West Garo Hills,1711,0,0,10057.3,5825,120.9,55,6833.6,11443
West Jaintia Hills,1431,3.92,28,15293.1,7550,43.4,19,4302.11,4846
West Khasi Hills,753,1.02,9,8830.66,5739,39.66,8,4451.46,7124
