District,Current Year Disbursement No.,Current Year Disbursement Amt,Outstanding No.,Outstanding Amt
Eastern West Khasi Hills,4,4.43,67,42.65
East Garo Hills,85,164.11,276,363.22
East Jaintia Hills,0,0,14,4.44
East Khasi Hills,306,397.72,5243,1663.99
North Garo Hills,0,0,87,93.55
Ri Bhoi,1231,455.34,2459,652.35
South Garo Hills,0,0,21,7.05
South West Garo Hills,41,70.1,231,171.53
South West Khasi Hills,0,0,5,2.47
West Garo Hills,1728,1032.39,2789,1626.74
West Jaintia Hills,97,168.27,318,325.52
West Khasi Hills,1,0.36,72,133.04
