District,Plantation & Horticulture Amt,A/C Nos Plantation horticulture &,Farm Mechanization Amt,Farm Mechanization A/C,Amt wasteland Forestry and Dev,A/C wasteland Forestry Nos and Dev,Crop Amt Loan,Loan Crop A/C
Eastern West Khasi Hills,10.27,2,3.71,9,6.05,3,538.14,919
East Garo Hills,10.27,2,5.96,10,0,0,316.6,349
East Jaintia Hills,10.27,2,38.84,26,0,0,98.69,154
East Khasi Hills,72.48,15,155.67,284,111.42,114,2348.8,2742
North Garo Hills,5.13,1,0,0,0,0,320.95,407
Ri Bhoi,15.39,3,7.65,18,7.23,10,2143.86,2837
South Garo Hills,0,0,0,0,0,0,162.55,244
South West Garo Hills,0,0,79.42,232,0,0,202.8,260
South West Khasi Hills,30.8,6,0,0,0,0,221.93,325
West Garo Hills,72.31,15,127.62,326,4.08,4,1159.72,756
West Jaintia Hills,41.06,8,159.71,448,1,1,773.65,757
West Khasi Hills,20.53,4,0.36,1,0.94,2,375.58,565
