district,total_atm,atm_rural,atm_semi_urban,atm_urban,atm_rural_prev_fy,atm_rural_prev_q,atm_rural_growth_abs,atm_rural_growth_pct,atm_semi_urban_prev_fy,atm_semi_urban_prev_q,atm_semi_urban_growth_abs,atm_semi_urban_growth_pct,atm_urban_prev_fy,atm_urban_prev_q,atm_urban_growth_abs,atm_urban_growth_pct,atm_total_prev_fy,atm_total_prev_q,atm_total_growth_abs,atm_total_growth_pct
Balod,92,45,46,1,44,37,1,2.2727,46,47,0,0,1,1,0,0,91,85,1,1.0989
Baloda Bazar,100,25,75,0,24,26,1,4.1667,75,69,0,0,1,2,-1,-100,100,97,0,0
Balrampur,47,26,20,1,27,22,-1,-3.7037,17,18,3,17.6471,0,1,1,,44,41,3,6.8182
Bastar,119,35,3,81,35,34,0,0,3,3,0,0,84,84,-3,-3.5714,122,121,-3,-2.459
Bemetara,64,29,34,1,29,24,0,0,27,32,7,25.9259,1,1,0,0,57,57,7,12.2807
Bijapur,25,13,12,0,13,12,0,0,11,11,1,9.0909,0,0,0,,24,23,1,4.1667
Bilaspur,320,30,33,257,29,23,1,3.4483,34,33,-1,-2.9412,255,261,2,0.7843,318,317,2,0.6289
Dantewada,54,10,44,0,9,8,1,11.1111,41,42,3,7.3171,0,0,0,,50,50,4,8
Dhamtari,80,26,15,39,26,27,0,0,15,19,0,0,40,42,-1,-2.5,81,88,-1,-1.2346
Durg,438,52,38,348,51,51,1,1.9608,36,33,2,5.5556,368,366,-20,-5.4348,455,450,-17,-3.7363
Gariaband,55,26,28,1,26,26,0,0,28,24,0,0,1,1,0,0,55,51,0,0
Gaurela-Pendra-Marwahi,32,1,30,1,1,1,0,0,25,25,5,20,1,1,0,0,27,27,5,18.5185
Janjgir-Champa,122,33,87,2,34,35,-1,-2.9412,87,76,0,0,2,2,0,0,123,113,-1,-0.813
Jashpur,66,13,52,1,12,10,1,8.3333,50,47,2,4,4,4,-3,-75,66,61,0,0
Kabirdham,71,20,50,1,20,18,0,0,50,52,0,0,1,1,0,0,71,71,0,0
Kanker,81,33,47,1,33,27,0,0,42,49,5,11.9048,1,1,0,0,76,77,5,6.5789
Khairagarh-Chhuikhadan-Gandai,27,11,14,2,10,10,1,10,14,14,0,0,2,2,0,0,26,26,1,3.8462
Kondagaon,49,12,35,2,12,10,0,0,36,36,-1,-2.7778,2,2,0,0,50,48,-1,-2
Korba,168,27,18,123,26,23,1,3.8462,19,21,-1,-5.2632,127,126,-4,-3.1496,172,170,-4,-2.3256
Korea,46,4,42,0,4,4,0,0,41,40,1,2.439,0,1,0,,45,45,1,2.2222
Mahasamund,108,38,70,0,38,36,0,0,69,66,1,1.4493,0,0,0,,107,102,1,0.9346
Manendragarh-Chirmiri-Bharatpur,37,10,26,1,8,10,2,25,28,25,-2,-7.1429,0,1,1,,36,36,1,2.7778
Mohla-Manpur-Ambagarh Chowki,19,17,1,1,17,15,0,0,1,1,0,0,1,1,0,0,19,17,0,0
Mungeli,45,9,35,1,11,10,-2,-18.1818,33,32,2,6.0606,1,2,0,0,45,44,0,0
Narayanpur,24,0,24,0,0,1,0,,20,19,4,20,0,0,0,,20,20,4,20
Raigarh,156,33,36,87,32,31,1,3.125,36,39,0,0,92,89,-5,-5.4348,160,159,-4,-2.5
Raipur,768,90,70,608,88,89,2,2.2727,65,64,5,7.6923,621,626,-13,-2.0934,774,779,-6,-0.7752
Rajnandgaon,129,22,16,91,22,22,0,0,17,16,-1,-5.8824,94,94,-3,-3.1915,133,132,-4,-3.0075
Sakti,46,21,25,0,22,18,-1,-4.5455,26,22,-1,-3.8462,0,0,0,,48,40,-2,-4.1667
Sarangarh-Bilaigarh,51,15,36,0,17,16,-2,-11.7647,29,29,7,24.1379,0,1,0,,46,46,5,10.8696
Sukma,17,6,11,0,6,7,0,0,9,9,2,22.2222,0,0,0,,15,16,2,13.3333
Surajpur,60,24,36,0,21,19,3,14.2857,36,36,0,0,2,2,-2,-100,59,57,1,1.6949
Surguja,112,33,2,77,32,28,1,3.125,3,3,-1,-33.3333,77,82,0,0,112,113,0,0
