district,total_deposit,total_advance,overall_cd_ratio,deposits_prev_fy,deposits_prev_quarter,deposits_growth_abs,deposits_growth_pct,advances_prev_fy,advances_prev_quarter,advances_growth_abs,advances_growth_pct,cd_ratio_prev_fy,cd_ratio_prev_quarter,cd_ratio_benchmark
Balod,5807.8,2679.92,46.1435,5962.68,5409.77,-154.88,-2.5975,2211.32,2402.21,468.6,21.191,37.086,44.405,40
Baloda Bazar,6546.44,4432.45,67.7078,6837.16,5955.51,-290.72,-4.2521,3923.55,3978.8,508.9,12.9704,57.3857,66.8087,40
Balrampur,3255.34,1476.52,45.3569,3437.59,2935.99,-182.25,-5.3017,1332.62,1290.75,143.9,10.7983,38.7661,43.963,40
Bastar,7100.44,4950.1,69.7154,7531.9,6234.25,-431.46,-5.7284,4566.11,4367,383.99,8.4096,60.6236,70.0485,40
Bemetara,4314.49,2805.4,65.0227,4945.49,4015.05,-631,-12.7591,2324.04,2451.06,481.36,20.7122,46.9931,61.0468,40
Bijapur,1237.67,830.21,67.0785,1328.22,1140.67,-90.55,-6.8174,699.86,703,130.35,18.6252,52.6916,61.6304,40
Bilaspur,33952.38,21061.22,62.0316,31536.11,29008.71,2416.27,7.6619,19798.88,17844.48,1262.34,6.3758,62.7816,61.5142,40
Dantewada,3048.25,3172.28,104.0689,2782.85,2694.86,265.4,9.537,3702.66,2264.68,-530.38,-14.3243,133.0528,84.037,40
Dhamtari,6159.44,4222.65,68.5557,6252.1,5576.33,-92.66,-1.4821,3818.03,3749.1,404.62,10.5976,61.068,67.2324,40
Durg,37309.88,23231.19,62.2655,36760.15,34170.32,549.73,1.4955,21975.78,20812.24,1255.41,5.7127,59.7815,60.9074,40
Gariaband,2479.08,1735.12,69.9905,2674.33,2258.36,-195.25,-7.3009,1453.58,1447.29,281.54,19.3687,54.3531,64.0859,40
Gaurela-Pendra-Marwahi,1570.28,916.26,58.3501,1630.15,1441.66,-59.87,-3.6727,848.88,801.82,67.38,7.9375,52.0737,55.6178,40
Janjgir-Champa,7344.63,4280.52,58.2809,7524.73,6858.11,-180.1,-2.3934,3950.79,3760.71,329.73,8.3459,52.5041,54.836,40
Jashpur,4753.77,2335.98,49.1395,4947.93,4280.57,-194.16,-3.9241,2306.21,2158.63,29.77,1.2909,46.6096,50.4286,40
Kabirdham,3543.2,3206.36,90.4933,3849.49,3293.71,-306.29,-7.9566,2576.25,2812.07,630.11,24.4584,66.9244,85.377,40
Kanker,4548.23,3084.84,67.8251,4659.88,4261.27,-111.65,-2.396,2724.13,2703.26,360.71,13.2413,58.4592,63.4379,40
Khairagarh-Chhuikhadan-Gandai,1701.12,1242.78,73.0566,1805.28,1615.33,-104.16,-5.7697,907.47,1095.43,335.31,36.95,50.2675,67.8146,40
Kondagaon,2554,1843.81,72.193,2672.91,2357.17,-118.91,-4.4487,1620.7,1630.16,223.11,13.7663,60.6343,69.1575,40
Korba,13140.26,9112.1,69.3449,12393.87,12321.22,746.39,6.0223,8551.16,7666.72,560.94,6.5598,68.9951,62.2237,40
Korea,2484.5,907.48,36.5257,2474.56,2325.59,9.94,0.4017,1784.95,1844.6,-877.47,-49.1594,72.132,79.3175,40
Mahasamund,5579.67,5091.07,91.2432,6063.19,5127.54,-483.52,-7.9747,4385.53,4458.6,705.54,16.0879,72.3304,86.954,40
Manendragarh-Chirmiri-Bharatpur,3938.5,2148.89,54.5611,3844.72,3648.72,93.78,2.4392,1243.94,1222.96,904.95,72.7487,32.3545,33.5175,40
Mohla-Manpur-Ambagarh Chowki,1178.02,525.94,44.6461,1286.75,1082.35,-108.73,-8.45,386.42,451.34,139.52,36.1058,30.0307,41.7,40
Mungeli,2526.05,1834.85,72.6371,2788.35,2308.84,-262.3,-9.407,1577.31,1570.04,257.54,16.3278,56.5679,68.0012,40
Narayanpur,993.63,480.68,48.3762,976.08,807.51,17.55,1.798,431.22,427.28,49.46,11.4698,44.1788,52.9133,40
Raigarh,11623.68,10301.64,88.6263,11453.18,10571.71,170.5,1.4887,9326.81,9082.78,974.83,10.4519,81.4342,85.9159,40
Raipur,95155.87,118828.76,124.878,100732.2,84703.88,-5576.33,-5.5358,110339.17,102414.12,8489.59,7.6941,109.5371,120.9084,40
Rajnandgaon,8785.9,6154.63,70.0512,8963.41,7903.26,-177.51,-1.9804,5435.25,5322.15,719.38,13.2355,60.6382,67.3412,40
Sakti,3202.7,1831.76,57.1942,3444.08,2992.24,-241.38,-7.0085,1565.77,1611.7,265.99,16.9878,45.4626,53.8627,40
Sarangarh-Bilaigarh,2446.84,1542.78,63.0519,2625.38,2255.66,-178.54,-6.8005,1301.58,1336.71,241.2,18.5313,49.5768,59.2603,40
Sukma,1245.09,661.68,53.1431,1381.93,1210.87,-136.84,-9.9021,555.56,554.71,106.12,19.1014,40.2017,45.8109,40
Surajpur,5483.77,2242.09,40.8859,5532.87,4991.58,-49.1,-0.8874,2043.7,1980.51,198.39,9.7074,36.9374,39.677,40
Surguja,8644.08,4744.85,54.8913,9584.74,7730.05,-940.66,-9.8141,4454.67,4290.64,290.18,6.5141,46.4767,55.506,40
