district,total_branch,branch_rural,branch_semi_urban,branch_urban,branch_rural_prev_fy,branch_rural_prev_q,branch_rural_growth_abs,branch_rural_growth_pct,branch_semi_urban_prev_fy,branch_semi_urban_prev_q,branch_semi_urban_growth_abs,branch_semi_urban_growth_pct,branch_urban_prev_fy,branch_urban_prev_q,branch_urban_growth_abs,branch_urban_growth_pct,branch_total_prev_fy,branch_total_prev_q,branch_total_growth_abs,branch_total_growth_pct
Balod,113,75,37,1,74,73,1,1.3514,37,38,0,0,1,1,0,0,112,112,1,0.8929
Baloda Bazar,113,50,63,0,49,49,1,2.0408,64,64,-1,-1.5625,0,0,0,,113,113,0,0
Balrampur,78,64,13,1,61,61,3,4.918,13,12,0,0,1,1,0,0,75,74,3,4
Bastar,120,74,4,42,74,74,0,0,4,4,0,0,41,41,1,2.439,119,119,1,0.8403
Bemetara,88,61,26,1,60,56,1,1.6667,26,27,0,0,1,1,0,0,87,84,1,1.1494
Bijapur,49,40,9,0,39,38,1,2.5641,9,8,0,0,0,0,0,0,48,46,1,2.0833
Bilaspur,267,69,37,161,69,69,0,0,38,37,-1,-2.6316,157,155,4,2.5478,264,261,3,1.1364
Dantewada,45,23,22,0,22,22,1,4.5455,22,22,0,0,0,0,0,0,44,44,1,2.2727
Dhamtari,113,55,21,37,55,55,0,0,21,21,0,0,36,37,1,2.7778,112,113,1,0.8929
Durg,303,77,40,186,76,77,1,1.3158,40,40,0,0,187,186,-1,-0.5348,303,303,0,0
Gariaband,67,39,28,0,38,36,1,2.6316,28,26,0,0,0,0,0,0,66,62,1,1.5152
Gaurela-Pendra-Marwahi,30,9,21,0,9,9,0,0,20,18,1,5,0,0,0,0,29,27,1,3.4483
Janjgir-Champa,123,61,60,2,60,60,1,1.6667,59,58,1,1.6949,2,2,0,0,121,120,2,1.6529
Jashpur,95,49,45,1,46,45,3,6.5217,43,43,2,4.6512,2,2,-1,-50,91,90,4,4.3956
Kabirdham,84,46,36,2,46,46,0,0,36,37,0,0,2,2,0,0,84,85,0,0
Kanker,106,64,41,1,63,61,1,1.5873,40,40,1,2.5,1,1,0,0,104,102,2,1.9231
Khairagarh-Chhuikhadan-Gandai,40,21,17,2,21,21,0,0,16,16,1,6.25,2,2,0,0,39,39,1,2.5641
Kondagaon,57,28,28,1,28,28,0,0,27,27,1,3.7037,1,1,0,0,56,56,1,1.7857
Korba,133,44,28,61,44,44,0,0,28,28,0,0,62,62,-1,-1.6129,134,134,-1,-0.7463
Korea,37,17,19,1,16,16,1,6.25,20,21,-1,-5,1,1,0,0,37,38,0,0
Mahasamund,133,59,73,1,59,53,0,0,73,71,0,0,1,1,0,0,133,125,0,0
Manendragarh-Chirmiri-Bharatpur,57,24,32,1,24,24,0,0,29,29,3,10.3448,1,1,0,0,54,54,3,5.5556
Mohla-Manpur-Ambagarh Chowki,32,30,1,1,30,30,0,0,1,1,0,0,1,1,0,0,32,32,0,0
Mungeli,53,23,29,1,23,23,0,0,28,29,1,3.5714,1,1,0,0,52,53,1,1.9231
Narayanpur,22,8,14,0,7,7,1,14.2857,14,13,0,0,0,0,0,0,21,20,1,4.7619
Raigarh,148,65,28,55,65,65,0,0,28,27,0,0,56,56,-1,-1.7857,149,148,-1,-0.6711
Raipur,554,108,70,376,106,105,2,1.8868,69,66,1,1.4493,374,365,2,0.5348,549,536,5,0.9107
Rajnandgaon,132,55,24,53,55,52,0,0,24,22,0,0,52,53,1,1.9231,131,127,1,0.7634
Sakti,57,33,24,0,33,33,0,0,22,21,2,9.0909,0,0,0,0,55,54,2,3.6364
Sarangarh-Bilaigarh,53,32,21,0,32,32,0,0,20,19,1,5,0,0,0,0,52,51,1,1.9231
Sukma,34,27,7,0,27,27,0,0,7,6,0,0,0,0,0,0,34,33,0,0
Surajpur,91,62,27,2,61,61,1,1.6393,26,26,1,3.8462,3,3,-1,-33.3333,90,90,1,1.1111
Surguja,106,59,3,44,57,57,2,3.5088,3,3,0,0,44,44,0,0,104,104,2,1.9231
