district,acp_agri_target,acp_agri_achievement,acp_agri_pct,acp_msme_target,acp_msme_achievement,acp_msme_pct,acp_other_psa_target,acp_other_psa_achievement,acp_other_psa_pct,acp_total_target,acp_total_achievement,acp_total_pct
Balod,1341.12,710.96,53.0124,406.68,276.84,68.0732,68.26,25.94,38.0018,1816.06,1013.74,55.8208
Baloda Bazar,2972.83,1362.04,45.8163,998.52,486.43,48.7151,123.45,61.68,49.9635,4094.8,1910.15,46.6482
Balrampur,478.41,196.33,41.038,330.35,173.37,52.4807,82.66,8.27,10.0048,891.42,377.97,42.4009
Bastar,1082.95,482.68,44.5708,1237.35,571.83,46.2141,61.11,31.39,51.3664,2381.41,1085.9,45.599
Bemetara,2102.64,939.4,44.6772,485.7,219.12,45.1143,27.06,13.35,49.3348,2615.4,1171.87,44.8065
Bijapur,175.33,100.89,57.5429,88.72,29.94,33.7466,4.02,1.22,30.3483,268.07,132.05,49.2595
Bilaspur,2663.49,1231.74,46.2453,6841.91,4072.39,59.5212,306.95,250.23,81.5214,9812.35,5554.36,56.6058
Dantewada,80.83,39.07,48.336,185.35,59.8,32.2633,16.47,11.3,68.6096,282.65,110.17,38.9775
Dhamtari,2567.56,1132.61,44.1123,744.19,537.4,72.2127,61.96,72.95,117.7372,3373.71,1742.96,51.663
Durg,2920.16,1410.03,48.2861,5227.91,5936.09,113.5461,1448.19,250.56,17.3016,9596.26,7596.68,79.1629
Gariaband,1001.91,473.51,47.2607,176.59,132.53,75.0495,66.79,11.74,17.5775,1245.29,617.78,49.6093
Gaurela-Pendra-Marwahi,322.44,142.07,44.0609,266.63,114.45,42.9247,19.28,6.91,35.8402,608.35,263.43,43.3024
Janjgir-Champa,1305.41,582.31,44.6074,1270.08,539.22,42.4556,77.43,51.75,66.8346,2652.92,1173.28,44.226
Jashpur,622.7,251.68,40.4175,688.82,271.34,39.392,52.35,20.99,40.0955,1363.87,544.01,39.8872
Kabirdham,1749.03,932.39,53.309,701.84,292.2,41.6334,172.38,453.75,263.2266,2623.25,1678.34,63.9794
Kanker,1327.68,522.44,39.3498,596.9,263.1,44.0777,37.85,18.52,48.93,1962.43,804.06,40.9727
Khairagarh-Chhuikhadan-Gandai,923.4,496.18,53.734,122.02,44.76,36.6825,85.2,61.11,71.7254,1130.62,602.05,53.2495
Kondagaon,737.95,313.67,42.5056,328.81,147.46,44.8466,32.01,13.0,40.6123,1098.77,474.13,43.151
Korba,665.09,267.46,40.2141,3044.92,1400.55,45.9963,105.37,66.51,63.1204,3815.38,1734.52,45.4613
Korea,206.23,87.71,42.5302,172.14,112.56,65.3886,77.57,11.1,14.3097,455.94,211.37,46.3592
Mahasamund,2631.39,1235.26,46.9433,640.31,375.19,58.5951,94.78,51.16,53.9776,3366.48,1661.61,49.3575
Manendragarh-Chirmiri-Bharatpur,262.42,153.35,58.4369,374.56,172.96,46.1768,29.19,7.85,26.8928,666.17,334.16,50.1614
Mohla-Manpur-Ambagarh Chowki,269.59,170.6,63.2813,39.13,23.76,60.7207,62.74,37.46,59.7067,371.46,231.82,62.4078
Mungeli,836.27,384.64,45.9947,391.67,162.94,41.6013,27.01,9.76,36.1348,1254.95,557.34,44.4113
Narayanpur,99.55,49.01,49.2315,68.37,34.48,50.4315,8.29,2.06,24.8492,176.21,85.55,48.55
Raigarh,1449.18,611.99,42.2301,3595.28,2128.21,59.1946,90.73,53.75,59.2417,5135.19,2793.95,54.4079
Raipur,7549.55,3431.62,45.4546,25286.14,22419.12,88.6617,4060.34,2028.34,49.9549,36896.03,27879.08,75.5612
Rajnandgaon,2531.41,1247.78,49.2919,927.51,1483.48,159.9422,221.82,165.25,74.4973,3680.74,2896.51,78.6937
Sakti,818.99,387.25,47.2838,715.8,398.61,55.6873,37.44,13.82,36.9124,1572.23,799.68,50.8628
Sarangarh-Bilaigarh,833.78,365.72,43.8629,333.83,147.62,44.2201,18.01,6.14,34.0922,1185.62,519.48,43.8151
Sukma,135.65,67.6,49.8341,107.6,31.44,29.2193,29.43,3.03,10.2956,272.68,102.07,37.4322
Surajpur,802.28,305.12,38.0316,338.54,295.34,87.2393,89.06,16.78,18.8412,1229.88,617.24,50.187
Surguja,1200.78,451.05,37.5631,1567.88,974.46,62.1514,46.04,31.76,68.9835,2814.7,1457.27,51.7735
