District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Agra,80107.0,185.93,179.08,11424.0,218.28,192.77,3202.0,259.44
Aligarh,61270.0,169.9,167.0,8771.0,135.99,123.81,1536.0,123.59
Ambedkar Nagar,34174.0,101.2,99.02,6884.0,95.03,87.03,593.0,47.88
Amethi,7722.0,25.22,23.55,3173.0,65.91,60.27,537.0,41.13
Amroha,18451.0,51.24,47.66,3300.0,59.55,30.69,732.0,62.01
Ayodhya,34313.0,97.95,95.17,7188.0,122.57,113.3,1209.0,98.99
Azamgarh,61154.0,171.93,168.05,11122.0,147.83,135.12,868.0,68.02
Baghpat,13738.0,28.04,24.54,2965.0,47.97,23.44,292.0,24.08
Bahraich,26691.0,65.51,64.79,4569.0,63.47,59.27,408.0,35.61
Ballia,95009.0,252.92,249.75,15164.0,149.0,140.7,539.0,41.39
Banda,14879.0,39.91,39.28,1843.0,40.26,38.21,249.0,20.14
Barabanki,24163.0,45.05,42.0,5622.0,102.74,89.07,745.0,61.01
Bareilly,50719.0,131.08,125.74,8096.0,156.77,137.97,1834.0,137.95
Bhadohi,34313.0,92.24,88.97,5705.0,66.51,61.75,365.0,29.39
Bijnor,59768.0,175.29,168.69,7873.0,102.64,84.17,1086.0,96.89
Chandauli,52227.0,142.5,126.8,8042.0,96.25,89.52,502.0,37.39
Chitrakoot,17011.0,44.32,43.63,2675.0,27.81,25.52,155.0,12.76
Deoria,102214.0,241.41,238.57,16880.0,174.58,159.32,1045.0,84.83
Etah,6368.0,12.63,12.02,1622.0,32.52,30.16,430.0,34.64
Etawah,28788.0,8.12,6.88,1670.0,45.35,40.0,697.0,51.07
Fatehpur,16683.0,48.98,47.99,3604.0,68.16,65.5,473.0,36.24
Firozabad,23542.0,59.9,57.33,3885.0,66.54,55.47,711.0,58.05
Gautam Buddha Nagar,7311.0,13.63,10.59,4628.0,125.18,107.0,2492.0,225.22
Gorakhpur,175148.0,499.46,489.99,25410.0,304.5,286.6,3245.0,252.47
Hamirpur,9440.0,28.54,28.19,1445.0,26.57,23.92,321.0,24.87
Hapur,42052.0,109.14,106.21,6138.0,79.11,60.05,498.0,39.69
Hardoi,14849.0,14.78,12.21,4710.0,88.2,75.96,656.0,51.31
Hathras,23789.0,67.92,66.34,2153.0,36.45,30.31,401.0,34.43
Jalaun,7288.0,16.69,15.91,1502.0,29.45,25.81,202.0,15.97
Jaunpur,88479.0,275.94,255.5,13766.0,153.49,141.95,879.0,66.67
Jhansi,29086.0,70.03,64.51,4317.0,70.67,60.51,847.0,63.64
Kannauj,13187.0,30.09,28.73,3465.0,59.52,44.6,508.0,35.77
Kanpur Dehat,10276.0,21.71,20.75,2956.0,52.67,44.2,335.0,25.57
Kanpur Nagar,39980.0,100.64,95.18,15588.0,323.85,296.51,3824.0,287.62
Kaushambi,14360.0,46.35,45.32,2501.0,42.23,39.42,238.0,18.58
Kushi Nagar,124595.0,323.34,320.01,15436.0,145.84,139.25,702.0,57.66
Lalitpur,6271.0,14.17,12.26,1360.0,24.85,17.82,227.0,17.26
Lucknow,69664.0,136.78,123.98,20476.0,472.24,425.21,7453.0,559.71
Mahoba,4390.0,11.02,10.55,472.0,8.58,7.22,41.0,3.31
Mainpuri,6207.0,7.24,4.49,2954.0,67.78,37.49,728.0,57.69
Mathura,46555.0,135.55,133.5,5847.0,95.67,91.56,1188.0,93.36
Mau,28101.0,75.16,73.32,5853.0,71.5,65.17,397.0,29.17
Meerut,45575.0,115.86,107.65,9605.0,167.55,133.47,2360.0,186.86
Mirzapur,59600.0,171.69,155.48,8334.0,87.39,83.33,516.0,38.09
Moradabad,26772.0,67.83,63.6,8441.0,164.04,117.53,1745.0,133.9
Muzaffarnagar,55148.0,164.22,159.29,11199.0,122.89,108.92,766.0,64.33
Pilibhit,4493.0,10.11,9.38,1783.0,39.71,34.54,416.0,32.69
Pratapgarh,21763.0,60.22,58.53,5889.0,98.17,83.19,720.0,58.83
Prayagraj,117879.0,328.66,318.7,20728.0,285.21,254.18,2512.0,204.49
Rae Bareli,22278.0,59.49,55.72,6051.0,114.07,101.01,1039.0,86.88
Rampur,12983.0,29.57,27.0,4429.0,67.35,54.92,565.0,44.15
Saharanpur,74037.0,225.38,214.18,9759.0,124.84,108.23,1026.0,88.12
Sambhal,8973.0,27.68,24.74,2490.0,43.35,22.68,345.0,29.35
Shamli,17677.0,49.68,47.53,3761.0,39.83,35.52,220.0,19.81
Shravasti,861.0,1.89,1.75,526.0,9.72,8.45,55.0,4.37
Siddharth Nagar,14252.0,20.65,19.43,2203.0,42.44,37.18,538.0,45.7
Sitapur,21101.0,46.37,44.59,3164.0,55.1,45.96,401.0,32.48
Sonbhadra,61276.0,158.41,154.76,9884.0,95.58,81.76,647.0,51.81
Sultanpur,28622.0,85.42,83.91,3935.0,69.88,61.33,683.0,53.44
Unnao,20976.0,38.0,35.37,5032.0,84.48,77.41,556.0,43.31
Varanasi,134060.0,330.06,317.55,26409.0,361.55,335.96,3597.0,283.0
