District,sc_st_loans,sc_st_amount,women_loans,women_amount
Agra,2469.0,11487.43,569.0,86.01
Aligarh,1051.0,5669.67,359.0,49.23
Ambedkar Nagar,614.0,2149.07,73.0,8.72
Amethi,280.0,1530.06,56.0,4.81
Amroha,79.0,15.94,66.0,6.23
Auraiya,133.0,550.07,28.0,3.25
Ayodhya,905.0,4060.51,163.0,21.83
Azamgarh,16911.0,46928.73,86.0,10.55
Baghpat,59.0,12.0,41.0,7.15
Bahraich,195.0,1011.68,,
Ballia,513.0,1951.01,,
Balrampur,247.0,707.97,24.0,2.67
Banda,128.0,629.91,27.0,3.43
Barabanki,504.0,2874.95,95.0,12.28
Bareilly,14275.0,53927.07,256.0,29.64
Basti,1022.0,3313.79,55.0,8.82
Bhadohi,731.0,2330.16,51.0,6.94
Bijnor,624.0,2277.73,163.0,14.63
Budaun,514.0,1378.32,109.0,6.59
Bulandshahr,724.0,2859.07,227.0,21.25
Chandauli,565.0,2091.16,52.0,7.67
Chitrakoot,111.0,464.84,10.0,0.95
Deoria,490.0,2294.04,81.0,11.02
Etah,109.0,678.06,48.0,4.71
Etawah,188.0,681.73,67.0,9.71
Farrukhabad,268.0,974.89,,
Fatehpur,517.0,2897.37,69.0,8.85
Firozabad,516.0,3012.67,86.0,9.28
Gautam Buddha Nagar,1298.0,17338.82,304.0,55.57
Ghaziabad,2018.0,14934.42,402.0,58.6
Ghazipur,1516.0,5153.51,,
Gonda,505.0,1593.23,54.0,5.85
Gorakhpur,1440.0,7383.16,266.0,40.64
Hamirpur,145.0,820.75,15.0,2.19
Hapur,116.0,26.27,103.0,19.75
Hardoi,685.0,3470.57,128.0,11.04
Hathras,195.0,982.59,83.0,10.72
Jalaun,144.0,737.46,47.0,5.98
Jaunpur,1408.0,4115.71,58.0,6.16
Jhansi,859.0,3143.31,195.0,20.5
Kannauj,254.0,1004.08,22.0,2.89
Kanpur Dehat,221.0,962.62,35.0,4.31
Kanpur Nagar,2474.0,15575.04,527.0,76.42
Kaushambi,258.0,958.32,21.0,1.99
Kheri,317.0,1629.84,93.0,10.98
Kushi Nagar,534.0,1809.77,49.0,7.99
Lalitpur,250.0,646.31,68.0,5.41
Lucknow,3741.0,22938.28,750.0,119.42
Maharajganj,525.0,1890.56,56.0,6.49
Mahoba,74.0,294.65,29.0,5.03
Mainpuri,293.0,1426.14,43.0,6.39
Mathura,826.0,3548.18,,
Mau,905.0,2813.34,71.0,11.08
Meerut,943.0,6048.72,438.0,75.23
Mirzapur,474.0,1953.15,93.0,16.96
Moradabad,1439.0,6233.2,205.0,28.03
Muzaffarnagar,931.0,3662.71,175.0,24.74
Pilibhit,68.0,12.67,58.0,7.51
Pratapgarh,479.0,1918.3,106.0,12.01
Prayagraj,1741.0,7698.88,296.0,42.52
Rae Bareli,736.0,3934.07,138.0,13.56
Rampur,454.0,1421.75,62.0,5.03
Saharanpur,716.0,2802.5,220.0,26.56
Sambhal,253.0,1166.88,24.0,2.12
Sant Kabeer Nagar,316.0,1322.67,34.0,5.13
Shahjahanpur,363.0,1546.72,84.0,9.77
Shamli,62.0,11.21,56.0,5.93
Shravasti,67.0,128.24,,
Siddharth Nagar,599.0,1922.04,39.0,4.28
Sitapur,305.0,1485.12,48.0,5.97
Sonbhadra,400.0,1823.13,62.0,9.88
Sultanpur,333.0,1629.74,122.0,14.35
Unnao,491.0,2259.21,97.0,9.14
Varanasi,2025.0,9614.44,,
