District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,176.0,69.0,1.0,14.0,260.0,350.0
Aligarh,779455.73,634884.53,81.45,9.0,177.0,200.0
Ambedkar Nagar,32.0,3.0,0.0,1.0,36.0,64.0
Amethi,36.0,6.0,0.0,4.0,46.0,71.0
Auraiya,23.0,5.0,0.0,0.0,28.0,45.0
Ayodhya,77.0,14.0,1.0,6.0,98.0,153.0
Azamgarh,273709.4,160643.72,58.69,6.0,88.0,142.0
Baghpat,65.0,10.0,0.0,5.0,80.0,130.0
Bahraich,46.0,26.0,1.0,7.0,80.0,92.0
Banda,41.0,22.0,1.0,2.0,66.0,82.0
Bareilly,135.0,21.0,3.0,4.0,163.0,269.0
Bijnor,108.0,25.0,1.0,14.0,148.0,215.0
Budaun,35.0,9.0,0.0,1.0,45.0,70.0
Chandauli,31.0,7.0,1.0,3.0,42.0,62.0
Chitrakoot,10.0,7.0,0.0,2.0,19.0,20.0
Deoria,20.0,1.0,0.0,5.0,26.0,40.0
Etah,52.0,20.0,0.0,8.0,80.0,104.0
Etawah,50.0,5.0,0.0,1.0,56.0,100.0
Farrukhabad,46.0,20.0,0.0,5.0,71.0,92.0
Firozabad,47.0,12.0,1.0,3.0,63.0,94.0
Gautam Buddha Nagar,87.0,20.0,1.0,7.0,115.0,174.0
Ghaziabad,155.0,42.0,1.0,5.0,203.0,305.0
Ghazipur,45.0,3.0,1.0,4.0,53.0,87.0
Gonda,25.0,10.0,0.0,5.0,40.0,50.0
Gorakhpur,417164.4,369412.84,88.55,6.0,73.0,102.0
Hamirpur,18.0,5.0,3.0,9.0,35.0,36.0
Hapur,39.0,7.0,0.0,3.0,49.0,76.0
Jalaun,56.0,26.0,1.0,1.0,84.0,111.0
Jaunpur,46.0,9.0,0.0,8.0,63.0,92.0
Kannauj,39.0,27.0,0.0,6.0,72.0,78.0
Kanpur Dehat,43.0,1.0,0.0,6.0,50.0,86.0
Kanpur Nagar,201.0,39.0,2.0,18.0,260.0,401.0
Kaushambi,23.0,4.0,0.0,2.0,29.0,46.0
Kheri,93.0,26.0,1.0,15.0,135.0,183.0
Kushi Nagar,12.0,6.0,0.0,1.0,19.0,24.0
Lalitpur,16.0,1.0,0.0,2.0,19.0,31.0
Lucknow,253.0,91.0,6.0,32.0,382.0,505.0
Mahoba,25.0,25.0,0.0,2.0,52.0,50.0
Mathura,107.0,27.0,1.0,2.0,137.0,213.0
Mau,17.0,5.0,0.0,5.0,27.0,34.0
Meerut,168.0,32.0,0.0,12.0,212.0,333.0
Mirzapur,67.0,30.0,3.0,4.0,104.0,134.0
Moradabad,76.0,12.0,1.0,6.0,95.0,149.0
Muzaffarnagar,121.0,23.0,1.0,17.0,162.0,240.0
Pilibhit,68.0,12.0,1.0,5.0,86.0,136.0
Pratapgarh,42.0,7.0,0.0,2.0,51.0,83.0
Prayagraj,73.0,29.0,1.0,9.0,112.0,146.0
Rae Bareli,84.0,13.0,3.0,4.0,104.0,166.0
Rampur,62.0,6.0,0.0,3.0,71.0,124.0
Sonbhadra,36.0,23.0,5.0,6.0,70.0,71.0
Unnao,55.0,18.0,1.0,11.0,85.0,110.0
Varanasi,80.0,15.0,0.0,6.0,101.0,158.0
