District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,active_no,balance_amt_crore,zero_balance_no,rupay_issued_no,rupay_active_no,active_pct,rupay_active_pct
Agra,588974.0,855095.0,633567.0,810502.0,1444069.0,1354543.0,432.08,118258.0,1079996.0,1166209.0,86.1,79.73
Ambedkar Nagar,979531.0,160811.0,549868.0,590474.0,1140342.0,1029837.0,373.11,67577.0,997184.0,967486.0,93.95,96.83
Amethi,651841.0,65855.0,339107.0,378589.0,717696.0,658646.0,376.38,22017.0,622392.0,636918.0,96.7,94.5
Amroha,305088.0,148886.0,195843.0,258131.0,453974.0,432183.0,228.26,29353.0,335032.0,333247.0,77.11,77.52
Auraiya,485510.0,73630.0,245665.0,313475.0,559140.0,457544.0,195.73,110125.0,343612.0,383043.0,83.72,75.1
Azamgarh,1306821.0,243118.0,637617.0,912322.0,1549939.0,1403592.0,492.43,231362.0,696243.0,1242041.0,88.49,49.6
Baghpat,165112.0,73535.0,101195.0,137452.0,238647.0,203590.0,143.31,14706.0,181889.0,183813.0,90.29,89.34
Ballia,818503.0,441668.0,549690.0,710481.0,1260171.0,1148973.0,415.14,165456.0,924722.0,988236.0,86.01,80.48
Balrampur,455599.0,71870.0,237144.0,290325.0,527469.0,482107.0,232.52,31159.0,316312.0,440293.0,91.33,65.61
Bijnor,950180.0,271036.0,489784.0,731432.0,1221216.0,1104639.0,321.6,121149.0,1017453.0,999957.0,90.52,92.11
Bulandshahr,825990.0,300712.0,479523.0,647179.0,1126702.0,986959.0,388.38,78252.0,981805.0,810902.0,82.16,99.48
Etawah,298497.0,195749.0,220932.0,273314.0,494246.0,463553.0,174.82,55637.0,378015.0,384359.0,82.92,81.55
Farrukhabad,490073.0,292822.0,359140.0,423755.0,782895.0,692001.0,230.93,85634.0,619002.0,623523.0,90.1,89.45
Fatehpur,825261.0,201996.0,502162.0,525095.0,1027257.0,899596.0,530.96,30834.0,867630.0,867118.0,96.39,96.45
Gautam Buddha Nagar,219253.0,659820.0,551375.0,327698.0,879073.0,799253.0,412.33,71756.0,754101.0,699201.0,87.48,94.35
Gonda,804141.0,234504.0,470435.0,568210.0,1038645.0,939862.0,993.55,44933.0,658350.0,864297.0,91.96,70.05
Gorakhpur,1200921.0,558870.0,662987.0,1096804.0,1759791.0,1617753.0,459.21,178304.0,1166185.0,1237689.0,76.51,72.09
Hapur,170523.0,92249.0,113459.0,149313.0,262772.0,214764.0,91.42,23997.0,206983.0,198145.0,92.26,96.38
Hardoi,1296106.0,257578.0,710259.0,843425.0,1553684.0,1475030.0,533.03,128017.0,1204380.0,1228470.0,83.28,81.65
Jalaun,357155.0,139901.0,237818.0,259238.0,497056.0,450581.0,167.28,16496.0,282823.0,388374.0,86.19,62.77
Jaunpur,1758571.0,334610.0,870511.0,1222670.0,2093181.0,1866208.0,599.91,335462.0,1094561.0,1713464.0,91.82,58.65
Kanpur Dehat,569966.0,153798.0,363988.0,359776.0,723764.0,692136.0,249.33,47780.0,638486.0,609809.0,88.11,92.25
Kanpur Nagar,407648.0,804196.0,574742.0,637102.0,1211844.0,1118290.0,520.26,68708.0,1013094.0,990997.0,88.62,90.59
Kasganj,205341.0,309259.0,227485.0,287115.0,514600.0,481100.0,133.92,39518.0,406334.0,393098.0,81.71,84.46
Kheri,1263659.0,176675.0,668464.0,771870.0,1440334.0,1274043.0,403.42,61439.0,742997.0,1233703.0,96.83,58.32
Kushi Nagar,933921.0,145218.0,464110.0,615029.0,1079139.0,1020973.0,266.83,148392.0,683478.0,785067.0,76.89,66.94
Lalitpur,360503.0,138589.0,238049.0,261043.0,499092.0,470744.0,112.03,29011.0,421747.0,387846.0,82.39,89.59
Lucknow,466178.0,828710.0,607743.0,687145.0,1294888.0,1242986.0,644.32,110463.0,986266.0,1020676.0,82.11,79.35
Mahoba,208937.0,70145.0,134265.0,144817.0,279082.0,237443.0,131.36,7636.0,148492.0,215084.0,90.58,62.54
Mathura,423416.0,289987.0,349931.0,363472.0,713403.0,639637.0,250.52,49815.0,573388.0,563813.0,88.15,89.64
Mau,906903.0,296415.0,496259.0,707059.0,1203318.0,1182487.0,345.68,182854.0,602044.0,971862.0,82.19,50.91
Meerut,456067.0,527137.0,427377.0,555827.0,983204.0,854601.0,368.42,68627.0,803577.0,759704.0,88.9,94.03
Mirzapur,710793.0,153819.0,389191.0,475421.0,864612.0,771753.0,328.73,27730.0,519606.0,681740.0,88.34,67.33
Moradabad,440491.0,567522.0,442675.0,565338.0,1008013.0,811249.0,319.54,78883.0,782548.0,760306.0,93.72,96.46
Muzaffarnagar,480795.0,390097.0,366431.0,504461.0,870892.0,809021.0,327.15,45409.0,737561.0,657230.0,81.24,91.17
Pratapgarh,1278184.0,58567.0,658431.0,678320.0,1336751.0,1246053.0,621.83,63744.0,883209.0,1142617.0,91.7,70.88
