district,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c
Alipurduar,880000.0,80788.0,257417.0,541795.0,871441.0
Bankura,2418679.0,262801.0,591230.0,1564648.0,2459220.0
Birbhum,2862766.0,304535.0,821638.0,1736593.0,2520554.0
Cooch Behar,2024967.0,249620.0,528646.0,1246701.0,1822555.0
Dakshin Dinajpur,1255591.0,134688.0,341287.0,779616.0,1312040.0
Darjeeling,1442868.0,130829.0,431298.0,880741.0,667242.0
Hooghly,3432245.0,411348.0,878825.0,2142072.0,2651333.0
Howrah,2639584.0,295328.0,657531.0,1686725.0,2245170.0
Jalpaiguri,2022888.0,238324.0,563651.0,1220913.0,1486671.0
Jhargram,625574.0,54672.0,163440.0,407462.0,510395.0
Kalimpong,99620.0,7767.0,30837.0,61016.0,59976.0
Kolkata,3198015.0,262872.0,687831.0,2247312.0,1031847.0
Malda,2947459.0,374441.0,777653.0,1795365.0,3735829.0
Murshidabad,5140294.0,626270.0,1312319.0,3201705.0,5167024.0
Nadia,3396564.0,393026.0,843171.0,2160367.0,3412499.0
North 24 Parganas,5472994.0,590364.0,1348460.0,3534170.0,4917089.0
Paschim Bardhaman,2031499.0,90333.0,542473.0,1398693.0,1574624.0
Paschim Medinipur,2975312.0,367778.0,719452.0,1888082.0,2844136.0
Purba Bardhaman,2703933.0,394129.0,759106.0,1550698.0,2460978.0
Purba Medinipur,3190048.0,472718.0,757939.0,1959391.0,2778200.0
Purulia,1761890.0,191570.0,451492.0,1118828.0,2232494.0
South 24 Parganas,4789395.0,515224.0,1119188.0,3154983.0,5622117.0
Uttar Dinajpur,1918977.0,220042.0,505184.0,1193751.0,2969015.0
