district,disbursement_amt,kishor_no_of_a_cs,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,tarun_plus_no_of_a_cs,total_no_of_a_cs
Alipurduar,684.34,43177.0,685.97,29197.0,947.0,15.0,73336.0
Bankura,645.63,23546.0,663.98,35999.0,2920.0,47.0,62512.0
Birbhum,1121.89,58585.0,1131.96,57850.0,2878.0,38.0,119351.0
Cooch Behar,1183.62,73285.0,1189.2,33659.0,2085.0,32.0,109061.0
Dakshin Dinajpur,507.09,29162.0,516.09,19371.0,1186.0,18.0,49737.0
Howrah,1982.55,113391.0,2007.91,80169.0,4168.0,98.0,197826.0
Jalpaiguri,1103.63,60759.0,1114.24,48808.0,2632.0,33.0,112232.0
Jhargram,180.79,6071.0,182.06,7996.0,897.0,15.0,14979.0
Kalimpong,55.93,2875.0,56.18,1451.0,143.0,4.0,4473.0
Kolkata,2854.61,126414.0,2894.71,76755.0,12712.0,325.0,216206.0
Malda,1538.32,96983.0,1549.64,51476.0,2809.0,53.0,151321.0
Murshidabad,3272.08,209842.0,3312.78,133168.0,6604.0,109.0,349723.0
Nadia,1868.13,102315.0,1891.04,85871.0,4716.0,121.0,193023.0
North 24 Parganas,3539.94,180882.0,3625.03,143048.0,11551.0,253.0,335734.0
Paschim Medinipur,1409.53,58644.0,1431.54,57761.0,6015.0,133.0,122553.0
Purba Bardhaman,1386.31,65366.0,1394.69,56090.0,4715.0,51.0,126222.0
Purba Medinipur,1849.46,100776.0,1875.55,54629.0,6127.0,215.0,161747.0
South 24 Parganas,2357.73,129877.0,2400.87,113528.0,6325.0,139.0,249869.0
Uttar Dinajpur,1147.9,72852.0,1158.86,36321.0,2115.0,19.0,111307.0
