district,achievement,no_of_eligible_operative_ca_a_c,no_of_eligible_operative_sb_a_c,no_of_operative_ca_a_c_covered_with_at_least_one_digital_mode,no_of_operative_sb_a_c_covered_with_at_least_one_digital_mode
Alipurduar,90.39,31663.0,2314635.0,28621.0,2314416.0
Bankura,94.56,39793.0,3783679.0,37630.0,3782507.0
Birbhum,99.39,63369.0,3828182.0,62980.0,3825190.0
Cooch Behar,98.52,43180.0,3625431.0,42541.0,3624391.0
Dakshin Dinajpur,98.0,25752.0,2048408.0,25238.0,2047710.0
Darjeeling,93.68,75120.0,2125767.0,70374.0,2060196.0
Hooghly,95.8,142284.0,7303169.0,136309.0,7296890.0
Jalpaiguri,97.6,46617.0,2811350.0,45498.0,2810059.0
Jhargram,98.33,13000.0,1052682.0,12783.0,1051791.0
Kalimpong,77.02,5675.0,385137.0,4371.0,308451.0
Kolkata,94.99,524828.0,8898691.0,498532.0,8874264.0
Malda,97.63,67867.0,4854397.0,66261.0,4853537.0
Murshidabad,97.7,108563.0,7457117.0,106065.0,7454428.0
North 24 Parganas,95.53,276607.0,11952352.0,264245.0,11941417.0
Paschim Bardhaman,94.94,87078.0,3295416.0,82669.0,3142067.0
Paschim Medinipur,98.09,88004.0,5404881.0,86319.0,5402616.0
Purba Bardhaman,97.72,93135.0,4764958.0,91011.0,4757805.0
Purba Medinipur,88.34,109308.0,3925378.0,96558.0,3923644.0
Purulia,97.82,27180.0,3024095.0,26587.0,3023465.0
South 24 Parganas,96.32,144465.0,9543976.0,139153.0,9539516.0
Uttar Dinajpur,97.97,52419.0,3543535.0,51354.0,3542726.0
