district,amount_rs_in_cr,out_of_a_only_approved_no,out_of_a_only_disbursed_no,out_of_a_rejected_no,out_of_a_sanctioned_no,pending_at_bank_level_no,total_no_of_applications_submitted_to_bank_a
Alipurduar,7.65,3.0,64.0,110.0,67.0,6.0,183.0
Bankura,7.89,43.0,813.0,702.0,856.0,44.0,1602.0
Birbhum,7.07,46.0,613.0,388.0,659.0,25.0,1072.0
Cooch Behar,10.63,20.0,147.0,370.0,167.0,13.0,550.0
Dakshin Dinajpur,3.84,12.0,120.0,170.0,132.0,18.0,320.0
Darjeeling,5.04,6.0,32.0,119.0,38.0,4.0,161.0
Hooghly,14.79,26.0,943.0,329.0,969.0,25.0,1323.0
Howrah,4.0,6.0,108.0,81.0,114.0,4.0,199.0
Jalpaiguri,8.79,5.0,90.0,172.0,95.0,10.0,277.0
Jhargram,2.21,20.0,159.0,152.0,179.0,7.0,338.0
Kalimpong,0.15,2.0,12.0,17.0,14.0,1.0,32.0
Kolkata,3.32,1.0,7.0,7.0,8.0,3.0,18.0
Malda,9.04,18.0,215.0,434.0,233.0,38.0,705.0
Murshidabad,13.46,52.0,296.0,1073.0,348.0,116.0,1537.0
Nadia,16.95,16.0,82.0,223.0,98.0,20.0,341.0
North 24 Parganas,4.26,18.0,155.0,472.0,173.0,16.0,661.0
Paschim Bardhaman,3.33,15.0,327.0,37.0,342.0,8.0,387.0
Paschim Medinipur,19.75,39.0,867.0,389.0,906.0,27.0,1322.0
Purba Bardhaman,11.08,75.0,1681.0,610.0,1756.0,47.0,2413.0
Purba Medinipur,18.77,21.0,250.0,411.0,271.0,27.0,709.0
Purulia,3.25,5.0,71.0,148.0,76.0,8.0,232.0
South 24 Parganas,7.01,16.0,206.0,231.0,222.0,26.0,479.0
Uttar Dinajpur,6.36,14.0,155.0,263.0,169.0,16.0,448.0
