district,achievement_mm_disbursed_no,margin_money_involve,mm_claimed_no,mm_disbursed_no,pending_at_bank_no,pending_for_mm_no,returned_no,sanctioned_no,sponsored_in_fy_2025_26_no,target_for_fy_2025_26_no
Alipurduar,200.0,171.02,59.0,36.0,79.0,42.0,21.0,24.0,120.0,18.0
Bankura,25.64,46.86,27.0,10.0,51.0,20.0,25.0,21.0,96.0,39.0
Birbhum,70.0,65.55,48.0,21.0,66.0,44.0,30.0,23.0,114.0,30.0
Cooch Behar,200.0,150.81,58.0,36.0,63.0,48.0,9.0,15.0,86.0,18.0
Dakshin Dinajpur,16.47,25.86,19.0,14.0,39.0,14.0,3.0,5.0,48.0,85.0
Darjeeling,88.89,78.68,46.0,16.0,45.0,40.0,15.0,11.0,66.0,18.0
Hooghly,39.66,46.66,54.0,23.0,91.0,44.0,29.0,22.0,136.0,58.0
Howrah,54.9,52.47,93.0,28.0,64.0,78.0,59.0,19.0,138.0,51.0
Jalpaiguri,45.24,67.65,37.0,19.0,39.0,19.0,7.0,14.0,58.0,42.0
Kalimpong,66.67,45.6,16.0,8.0,11.0,11.0,2.0,6.0,14.0,12.0
Kolkata,8.33,4.27,13.0,4.0,46.0,11.0,10.0,1.0,57.0,48.0
Malda,38.1,37.65,25.0,16.0,44.0,21.0,17.0,18.0,70.0,42.0
Murshidabad,42.59,50.24,61.0,23.0,53.0,56.0,13.0,15.0,78.0,54.0
Nadia,16.04,25.8,57.0,17.0,52.0,46.0,12.0,12.0,69.0,106.0
North 24 Parganas,129.51,136.56,124.0,79.0,278.0,91.0,90.0,77.0,437.0,61.0
Paschim Bardhaman,2.53,2.98,8.0,2.0,12.0,7.0,1.0,6.0,15.0,79.0
Paschim Medinipur,50.0,63.69,86.0,23.0,107.0,75.0,21.0,45.0,156.0,46.0
Purba Bardhaman,18.92,14.08,30.0,7.0,93.0,29.0,13.0,14.0,116.0,37.0
Purba Medinipur,398.68,476.87,459.0,303.0,208.0,385.0,85.0,201.0,459.0,76.0
Purulia,38.71,33.89,30.0,12.0,33.0,24.0,10.0,5.0,45.0,31.0
South 24 Parganas,157.58,167.69,98.0,52.0,222.0,79.0,55.0,63.0,331.0,33.0
Uttar Dinajpur,44.44,103.32,7.0,4.0,44.0,4.0,8.0,2.0,53.0,9.0
