district,amt,average_disburse_ment_in_lakh,disbursement_upto_dec25_no,outsanding_loans_as_on_dec_25_no,sanctioned_upto_dec25_no,target_fy_2025_26_no
Alipurduar,74.87,2.53,22601.0,25524.0,13962.0,25454.0
Bankura,58.48,2.08,50842.0,62260.0,23431.0,58226.0
Birbhum,77.08,2.46,60074.0,69071.0,32176.0,63945.0
Cooch Behar,89.12,2.75,52337.0,58720.0,29868.0,53915.0
Dakshin Dinajpur,73.35,2.15,24040.0,28383.0,10203.0,23524.0
Darjeeling,159.57,3.25,10893.0,12096.0,4654.0,5024.0
Hooghly,73.18,2.7,46735.0,54334.0,31956.0,37582.0
Howrah,73.99,2.47,34919.0,39416.0,23112.0,38810.0
Jalpaiguri,76.81,2.24,34413.0,40137.0,21186.0,33523.0
Jhargram,58.41,2.53,14856.0,20007.0,16695.0,21400.0
Kalimpong,122.33,4.08,3114.0,3654.0,1793.0,2443.0
Kolkata,0.0,1.93,866.0,3639.0,,
Malda,65.03,2.09,57351.0,67160.0,38537.0,61359.0
Murshidabad,52.89,2.04,71120.0,88757.0,41625.0,83563.0
Nadia,57.1,2.23,54028.0,67482.0,21673.0,70285.0
North 24 Parganas,69.44,2.18,67463.0,83783.0,33418.0,70671.0
Paschim Bardhaman,70.37,2.48,10331.0,12964.0,6498.0,12154.0
Paschim Medinipur,108.05,3.66,56982.0,70154.0,39256.0,51603.0
Purba Bardhaman,73.48,2.72,54650.0,70083.0,30394.0,63180.0
Purba Medinipur,128.33,4.24,66188.0,84603.0,35247.0,72818.0
Purulia,38.11,1.53,31837.0,43014.0,15106.0,37509.0
South 24 Parganas,79.51,2.75,75962.0,91827.0,26032.0,70019.0
Uttar Dinajpur,78.44,2.34,39643.0,46945.0,20775.0,29377.0
