district,aapb_achieved_in_current_fy_2025_26,aapb_target,annual_target,annual_target_achievement_in_current_fy_2025_26,apy_accounts_opened_in_current_fy_2025_26,cumulative_apy_accounts_opened_since_inception,no_of_branch_es
Alipurduar,123.0,83.0,6230.0,148.0,9249.0,80788.0,75.0
Bankura,134.0,96.0,24880.0,140.0,34947.0,262801.0,260.0
Birbhum,114.0,94.0,26140.0,122.0,31762.0,304535.0,279.0
Cooch Behar,132.0,88.0,19060.0,149.0,28457.0,249620.0,216.0
Dakshin Dinajpur,170.0,91.0,10065.0,188.0,18881.0,134688.0,111.0
Darjeeling,45.0,88.0,22495.0,50.0,11349.0,130829.0,255.0
Hooghly,97.0,90.0,45985.0,107.0,49430.0,411348.0,509.0
Howrah,70.0,90.0,38730.0,78.0,30221.0,295328.0,431.0
Jalpaiguri,115.0,89.0,21180.0,129.0,27415.0,238324.0,238.0
Jhargram,112.0,97.0,6105.0,116.0,7059.0,54672.0,63.0
Kalimpong,22.0,93.0,2150.0,24.0,513.0,7767.0,23.0
Kolkata,22.0,83.0,114700.0,26.0,30033.0,262872.0,1374.0
Malda,193.0,94.0,21175.0,206.0,43712.0,374441.0,226.0
Murshidabad,168.0,93.0,37830.0,181.0,68555.0,626270.0,407.0
Nadia,136.0,89.0,34470.0,153.0,52765.0,393026.0,387.0
North 24 Parganas,76.0,88.0,83350.0,87.0,72212.0,590364.0,944.0
Paschim Bardhaman,45.0,83.0,20095.0,55.0,11037.0,90333.0,243.0
Paschim Medinipur,119.0,91.0,36290.0,130.0,47326.0,367778.0,397.0
Purba Bardhaman,75.0,88.0,49995.0,84.0,42223.0,394129.0,565.0
Purba Medinipur,147.0,88.0,31680.0,166.0,52501.0,472718.0,358.0
Purulia,152.0,95.0,16465.0,160.0,26421.0,191570.0,174.0
South 24 Parganas,119.0,90.0,55140.0,131.0,72500.0,515224.0,610.0
Uttar Dinajpur,185.0,90.0,14070.0,206.0,29042.0,220042.0,157.0
