district,amount,kcc_disbursement_during_01_04_2025_to_31_12_2025_fresh_renewal_no,kcc_outstanding_as_on_31_12_2025_no,of_achievement_no,target_no
Alipurduar,448.32,33792.0,50186.0,87.77,38500.0
Bankura,858.34,89798.0,193370.0,45.35,198000.0
Birbhum,793.31,86406.0,252087.0,36.0,240000.0
Cooch Behar,1662.01,51156.0,180521.0,26.92,190000.0
Dakshin Dinajpur,538.53,49275.0,132870.0,42.85,115000.0
Darjeeling,158.55,7427.0,22842.0,40.15,18500.0
Hooghly,1772.85,237973.0,335492.0,60.25,395000.0
Howrah,768.24,41699.0,125842.0,43.89,95000.0
Jalpaiguri,1071.63,33921.0,92149.0,84.8,40000.0
Jhargram,270.51,25800.0,65360.0,46.91,55000.0
Kalimpong,42.58,2603.0,6918.0,26.03,10000.0
Kolkata,283.91,431.0,527.0,,0.0
Malda,697.13,77904.0,141150.0,70.82,110000.0
Murshidabad,1160.75,81853.0,223782.0,86.16,95000.0
Nadia,1440.5,98072.0,261200.0,89.16,110000.0
North 24 Parganas,1261.59,108313.0,278552.0,47.09,230000.0
Paschim Bardhaman,512.51,32716.0,141932.0,130.86,25000.0
Paschim Medinipur,1952.0,197865.0,402374.0,80.76,245000.0
Purba Bardhaman,2053.18,161022.0,420888.0,57.51,280000.0
Purba Medinipur,2404.22,520924.0,779049.0,69.46,750000.0
Purulia,441.35,35473.0,136941.0,101.35,35000.0
South 24 Parganas,1167.5,113003.0,210494.0,66.47,170000.0
Uttar Dinajpur,908.09,54484.0,203404.0,99.06,55000.0
