district,camps_by_rural_branches_no_of_total_rural_branches,no_of_camps_conducted,no_of_flcs,no_of_participants_attended,special_camps_by_flcs_target,target,target_specific_camps_by_flcs_target
Alipurduar,51.0,163.0,0.0,0.0,0.0,153.0,0.0
Bankura,168.0,612.0,1.0,13368.0,6.0,504.0,15.0
Birbhum,212.0,40.0,1.0,759.0,6.0,636.0,15.0
Cooch Behar,136.0,531.0,1.0,23233.0,6.0,408.0,15.0
Dakshin Dinajpur,78.0,350.0,1.0,12200.0,6.0,234.0,15.0
Darjeeling,73.0,224.0,1.0,610.0,6.0,219.0,15.0
Hooghly,237.0,850.0,1.0,450.0,6.0,711.0,15.0
Howrah,115.0,44.0,1.0,2030.0,6.0,345.0,15.0
Jalpaiguri,79.0,242.0,1.0,463.0,6.0,237.0,15.0
Jhargram,83.0,286.0,1.0,652.0,6.0,249.0,15.0
Kalimpong,12.0,55.0,1.0,1528.0,6.0,36.0,15.0
Kolkata,0.0,0.0,1.0,95.0,6.0,0.0,15.0
Malda,189.0,210.0,1.0,232.0,6.0,567.0,15.0
Murshidabad,349.0,4632.0,1.0,5533.0,6.0,1047.0,15.0
Nadia,195.0,679.0,1.0,12371.0,6.0,585.0,15.0
North 24 Parganas,324.0,810.0,1.0,216.0,6.0,972.0,15.0
Paschim Bardhaman,102.0,455.0,1.0,765.0,6.0,306.0,15.0
Paschim Medinipur,250.0,257.0,1.0,210.0,6.0,750.0,15.0
Purba Bardhaman,329.0,1011.0,1.0,1478.0,6.0,987.0,15.0
Purba Medinipur,252.0,1227.0,1.0,37062.0,6.0,756.0,15.0
Purulia,129.0,286.0,1.0,276.0,6.0,387.0,15.0
South 24 Parganas,318.0,908.0,1.0,574.0,6.0,954.0,15.0
Uttar Dinajpur,103.0,168.0,1.0,8028.0,6.0,309.0,15.0
