district,amount_in_cr,loan_disbursed_in_adopted_msme_cluster_no,loan_disbursed_in_handloom_cluster_no,loan_disbursed_in_kvib_cluster_no,loan_sanctioned_in_adopted_msme_cluster_no,loan_sponsored_sanct_ioned_in_handloom_cluster_no,loan_sponsored_sanct_ioned_in_kvib_cluster_no,proposals_sponsored_generated_in_msme_cluster_no
Alipurduar,0.0,897.0,550.0,0.0,1023.0,667.0,0.0,1800.0
Bankura,1.63,136.0,45.0,70.0,136.0,45.0,70.0,136.0
Birbhum,0.0,2147.0,0.0,0.0,2147.0,0.0,0.0,2753.0
Cooch Behar,22.46,381.0,355.0,225.0,416.0,625.0,521.0,522.0
Dakshin Dinajpur,0.48,42.0,36.0,29.0,46.0,41.0,38.0,125.0
Darjeeling,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0
Hooghly,0.0,94.0,135.0,0.0,94.0,135.0,0.0,94.0
Howrah,0.21,190.0,20.0,10.0,190.0,20.0,10.0,190.0
Jhargram,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0
Kalimpong,0.0,52.0,0.0,0.0,52.0,0.0,0.0,52.0
Kolkata,0.34,30.0,0.0,60.0,30.0,0.0,60.0,86.0
Malda,0.07,68.0,102.0,12.0,79.0,210.0,12.0,160.0
Murshidabad,0.0,491.0,623.0,0.0,527.0,736.0,0.0,714.0
Nadia,22.19,1390.0,1020.0,103.0,1451.0,1128.0,108.0,2610.0
North 24 Parganas,10.04,143.0,0.0,54.0,160.0,0.0,57.0,226.0
Paschim Bardhaman,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0
Paschim Medinipur,156.5,314.0,44.0,3972.0,317.0,44.0,3979.0,1950.0
Purba Bardhaman,3.03,56.0,628.0,166.0,56.0,629.0,166.0,87.0
Purba Medinipur,0.0,126.0,1089.0,0.0,158.0,1153.0,0.0,158.0
Purulia,4.59,231.0,9.0,220.0,259.0,9.0,234.0,302.0
South 24 Parganas,0.0,70.0,0.0,0.0,76.0,0.0,0.0,122.0
Uttar Dinajpur,0.0,2401.0,61.0,0.0,2401.0,61.0,0.0,2462.0
