district,aadhaar_seeded,female_a_c,male_a_c,rupay_card_issued,rural_a_c,total_a_c,total_deposit_in_rs_crore,urban_a_c,zero_balance_account
Alipurduar,757785.0,493719.0,377722.0,688016.0,824570.0,871441.0,406.79,46871.0,55621.0
Bankura,2155845.0,1364007.0,1095213.0,1433825.0,2171628.0,2459220.0,1412.11,287592.0,152276.0
Birbhum,2231716.0,1440600.0,1079954.0,1524170.0,2380420.0,2520554.0,1215.21,140134.0,96533.0
Cooch Behar,1618983.0,1021575.0,800980.0,1409318.0,1733277.0,1822555.0,565.25,89278.0,118573.0
Dakshin Dinajpur,1134407.0,742987.0,569053.0,789968.0,1141042.0,1312040.0,485.41,170998.0,88722.0
Darjeeling,590548.0,393148.0,274094.0,527911.0,356170.0,667242.0,441.63,311072.0,46997.0
Hooghly,2372084.0,1565252.0,1086081.0,1730811.0,2080517.0,2651333.0,1503.31,570816.0,133336.0
Howrah,2019906.0,1313238.0,931932.0,1529834.0,1631426.0,2245170.0,1203.16,613744.0,89950.0
Jalpaiguri,1333079.0,856800.0,629871.0,1109003.0,1167119.0,1486671.0,651.64,319552.0,107285.0
Jhargram,430149.0,285321.0,225074.0,284540.0,505969.0,510395.0,313.59,4426.0,27464.0
Kalimpong,53636.0,33677.0,26299.0,46100.0,48537.0,59976.0,31.29,11439.0,3814.0
Kolkata,872310.0,580767.0,451080.0,806877.0,9223.0,1031847.0,492.0,1022624.0,110149.0
Malda,3338214.0,2125039.0,1610790.0,2130222.0,3602772.0,3735829.0,1449.79,133057.0,314275.0
Murshidabad,4563776.0,2896754.0,2270270.0,3663048.0,4959899.0,5167024.0,1962.29,207125.0,362721.0
Nadia,2949678.0,1952636.0,1459863.0,2286831.0,2779913.0,3412499.0,1608.61,632586.0,231606.0
North 24 Parganas,4350780.0,2829104.0,2087985.0,3448059.0,3157805.0,4917089.0,2516.05,1759284.0,281498.0
Paschim Bardhaman,1364033.0,1025276.0,549348.0,828310.0,927356.0,1574624.0,644.12,647268.0,84321.0
Paschim Medinipur,2513959.0,1653126.0,1191010.0,1749587.0,2485137.0,2844136.0,1580.09,358999.0,155848.0
Purba Bardhaman,2173817.0,1456155.0,1004823.0,1830163.0,2185315.0,2460978.0,1186.25,275663.0,98774.0
Purba Medinipur,2450317.0,1574660.0,1203540.0,1748242.0,2604280.0,2778200.0,1655.87,173920.0,162754.0
Purulia,1981161.0,1227438.0,1005056.0,1373591.0,1959173.0,2232494.0,1390.52,273321.0,148331.0
South 24 Parganas,4952195.0,3203129.0,2418988.0,3695470.0,5225040.0,5622117.0,2666.17,397077.0,379000.0
Uttar Dinajpur,2515128.0,1676011.0,1293004.0,1613339.0,2609400.0,2969015.0,818.11,359615.0,259652.0
