district,1_year_and_above_no,6_months_to_1_year_no,above_60_day_below_6_months_no,amt,pending_below_60_days_no,total_pending_no
Alipurduar,2.0,12.0,1.0,41.86,0.0,15.0
Bankura,20.0,21.0,4.0,26.59,7.0,52.0
Birbhum,56.0,27.0,13.0,18.41,16.0,112.0
Cooch Behar,39.0,20.0,9.0,31.9,7.0,75.0
Dakshin Dinajpur,60.0,27.0,3.0,25.42,2.0,92.0
Darjeeling,40.0,17.0,8.0,67.48,10.0,75.0
Hooghly,106.0,64.0,20.0,81.45,26.0,216.0
Howrah,102.0,82.0,40.0,142.48,44.0,268.0
Jalpaiguri,19.0,13.0,4.0,21.59,7.0,43.0
Jhargram,3.0,3.0,2.0,1.27,2.0,10.0
Kalimpong,10.0,0.0,39.0,7.23,4.0,53.0
Kolkata,64.0,114.0,31.0,163.03,80.0,289.0
Malda,52.0,10.0,11.0,38.68,6.0,79.0
Murshidabad,54.0,26.0,13.0,55.15,8.0,101.0
Nadia,98.0,56.0,11.0,56.2,28.0,193.0
North 24 Parganas,168.0,127.0,111.0,253.97,74.0,480.0
Paschim Bardhaman,60.0,61.0,34.0,124.29,8.0,163.0
Paschim Medinipur,69.0,35.0,27.0,48.23,6.0,137.0
Purba Bardhaman,99.0,58.0,33.0,145.11,14.0,204.0
Purba Medinipur,75.0,37.0,17.0,57.54,8.0,137.0
Purulia,12.0,31.0,12.0,12.76,2.0,57.0
South 24 Parganas,205.0,110.0,67.0,444.03,43.0,425.0
Uttar Dinajpur,53.0,12.0,11.0,25.72,1.0,77.0
