district,application_submitted_no,disbursed_no,pending_no,rejected_no,sanctioned_no
Alipurduar,,5.0,5.0,6.0,6.0
Bankura,101.0,15.0,31.0,50.0,20.0
Birbhum,21.0,6.0,6.0,8.0,7.0
Cooch Behar,,7.0,12.0,15.0,9.0
Dakshin Dinajpur,,7.0,17.0,72.0,9.0
Darjeeling,28.0,12.0,6.0,9.0,13.0
Hooghly,133.0,34.0,17.0,74.0,42.0
Howrah,125.0,23.0,40.0,55.0,30.0
Jalpaiguri,31.0,7.0,3.0,19.0,9.0
Jhargram,59.0,6.0,10.0,37.0,12.0
Kalimpong,,2.0,1.0,12.0,3.0
Kolkata,24.0,11.0,6.0,3.0,15.0
Malda,72.0,13.0,26.0,29.0,17.0
Murshidabad,,16.0,40.0,106.0,34.0
Nadia,129.0,19.0,15.0,92.0,22.0
North 24 Parganas,,24.0,24.0,31.0,28.0
Paschim Bardhaman,8.0,3.0,2.0,1.0,5.0
Paschim Medinipur,,9.0,17.0,34.0,14.0
Purba Bardhaman,,48.0,37.0,46.0,60.0
Purba Medinipur,,89.0,85.0,96.0,113.0
Purulia,80.0,9.0,6.0,59.0,15.0
South 24 Parganas,,38.0,83.0,788.0,60.0
Uttar Dinajpur,,2.0,8.0,5.0,3.0
