district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,3063.35,2017.0,1322.0,81.43,423.0,3762.0
Bankura,4634.96,3405.0,2463.0,71.94,575.0,6443.0
Birbhum,6386.72,3823.0,4437.0,63.96,1725.0,9985.0
Cooch Behar,5217.78,5143.0,2630.0,60.66,828.0,8601.0
Dakshin Dinajpur,3421.8,1736.0,1394.0,95.55,451.0,3581.0
Darjeeling,10540.57,2501.0,7602.0,96.42,829.0,10932.0
Hooghly,12385.71,8555.0,7212.0,70.7,1751.0,17518.0
Howrah,14271.91,2514.0,11336.0,86.63,2624.0,16474.0
Jalpaiguri,6171.15,3388.0,4203.0,72.82,884.0,8475.0
Jhargram,1197.45,1059.0,631.0,62.01,241.0,1931.0
Kalimpong,360.57,484.0,329.0,38.81,116.0,929.0
Kolkata,118887.99,13684.0,96729.0,99.74,8781.0,119194.0
Malda,6746.3,3464.0,4096.0,77.69,1124.0,8684.0
Murshidabad,9822.98,5431.0,6635.0,69.95,1977.0,14043.0
Nadia,8233.94,5508.0,4730.0,68.67,1752.0,11990.0
North 24 Parganas,22455.5,6242.0,17320.0,82.69,3593.0,27155.0
Paschim Bardhaman,11815.92,1848.0,10021.0,90.04,1254.0,13123.0
Purba Bardhaman,12013.79,9330.0,4801.0,77.69,1333.0,15464.0
Purba Medinipur,10944.36,8482.0,7177.0,62.9,1742.0,17401.0
Purulia,3771.99,1321.0,2145.0,97.49,403.0,3869.0
South 24 Parganas,9928.6,6578.0,6532.0,66.16,1897.0,15007.0
Uttar Dinajpur,5464.49,3033.0,2572.0,83.68,925.0,6530.0
