district,advance,cd_ratio,cd_ratio_as_on_december_2024,cd_ratio_as_on_december_2025,cd_ratio_as_on_december_2025_deposit
Alipurduar,5505.51,64.86,62.33,64.86,8488.22
Bankura,12188.91,56.91,54.69,56.91,21417.4
Birbhum,10938.59,46.68,51.29,46.68,23431.96
Cooch Behar,13596.9,81.44,80.13,81.44,16695.31
Dakshin Dinajpur,4994.39,71.66,68.17,71.66,6969.86
Darjeeling,19644.31,69.13,68.52,69.13,28417.03
Hooghly,27005.91,47.18,45.27,47.18,57241.62
Howrah,30932.29,50.99,49.66,50.99,60657.95
Jalpaiguri,10995.52,77.37,76.6,77.37,14211.63
Jhargram,2570.0,46.56,46.84,46.56,5520.0
Kalimpong,1135.72,51.33,50.94,51.33,2212.72
Kolkata,465492.62,87.42,98.05,87.42,532466.79
Malda,11532.05,60.05,60.23,60.05,19204.06
Murshidabad,19636.64,60.42,59.19,60.42,32501.33
Nadia,18821.16,51.53,51.78,51.53,36521.14
North 24 Parganas,91628.0,48.13,47.53,48.13,190373.0
Paschim Bardhaman,34580.19,52.54,52.51,52.54,65811.78
Paschim Medinipur,20984.24,50.86,50.61,50.86,41259.01
Purba Bardhaman,23630.64,56.61,53.66,56.61,41741.2
Purba Medinipur,23844.82,53.32,53.58,53.32,44716.8
Purulia,2137.0,49.24,49.83,49.24,4275.0
South 24 Parganas,22799.47,45.54,45.54,45.54,50063.74
Uttar Dinajpur,8174.27,72.88,69.53,72.88,11216.59
