district,amt_in_lakh,applications_disbursed_no,applications_pending_till_date_no,applications_sanctioned_no,applications_submitted_no
Bankura,3962.0,629.0,1684.0,680.0,1966.0
Birbhum,5685.0,1196.0,3307.0,1226.0,4248.0
Cooch Behar,1423.0,461.0,792.0,581.0,1403.0
Dakshin Dinajpur,593.0,401.0,429.0,405.0,829.0
Darjeeling,489.0,372.0,276.0,375.0,635.0
Hooghly,1023.0,1057.0,500.0,1103.0,1628.0
Howrah,8546.0,1582.0,2778.0,1854.0,4192.0
Jalpaiguri,1453.0,298.0,855.0,313.0,1105.0
Jhargram,910.0,148.0,462.0,155.0,591.0
Kalimpong,213.0,128.0,116.0,132.0,244.0
Malda,6490.0,526.0,5945.0,533.0,4225.0
Murshidabad,4477.0,2364.0,2485.0,2529.0,5357.0
Nadia,4139.0,669.0,2089.0,702.0,2611.0
North 24 Parganas,4426.0,1663.0,2811.0,1775.0,4852.0
Paschim Bardhaman,1059.0,114.0,378.0,132.0,350.0
Paschim Medinipur,10287.0,3406.0,6456.0,3509.0,8611.0
Purba Bardhaman,3979.0,1111.0,1937.0,1219.0,2789.0
Purba Medinipur,5763.0,1214.0,3081.0,1251.0,4313.0
Purulia,685.0,595.0,302.0,621.0,962.0
South 24 Parganas,2697.0,1106.0,1528.0,1109.0,2535.0
Uttar Dinajpur,2455.0,665.0,1525.0,688.0,1929.0
