district,Crop Loan,Term Loan,Agri Infra,Ancillaryy,Total
Aizawl,5478.0,1079.0,0.0,9.0,6566.0
Champhai,209.0,324.0,0.0,0.0,533.0
Hnahthial,36.0,59.0,0.0,0.0,95.0
Khawzawl,99.0,260.0,0.0,0.0,359.0
Kolasib,266.0,292.0,1.0,2.0,561.0
Lawngtlai,607.0,203.0,0.0,0.0,810.0
Lunglei,33.0,223.0,0.0,0.0,256.0
Mamit,120.0,358.0,0.0,0.0,478.0
Saiha,504.0,525.0,0.0,0.0,1029.0
Saitual,9.0,101.0,0.0,0.0,110.0
Serchhip,66.0,295.0,0.0,0.0,361.0
