district,4,34 - 35
ACP Disbursement (Other Priority Sector) - Bank-wise & Block-/District-wise,5,30 - 31
ACP NPA Outstanding (Agri) - Bank-wise & District-wise,6,20
ACP NPA Outstanding (MSME) - Bank-wise & District-wise,7,21
ACP NPA Outstanding (Non-Priority Sector) - Bank-wise & District-wise,8,33
ACP NPA Outstanding (Other Priority Sector) - Bank-wise & District-wise,9,22
ACP Outstanding (Agriculture) - Bank-wise & District-wise,10,17
ACP Outstanding (MSME) - Bank-wise & District-wise,11,18
ACP Outstanding (Non-Priority) - Bank-wise & District-wise,12,32
ACP Outstanding (Other Priority Sector) - Bank-wise & District-wise,13,19
ACP Outstanding (Priority) - Bank-wise & District-wise,14,16
ACP Performance vis-à-vis Target - Bank-Wise & District-Wise,15,23 - 25
ACP Target for FY 2021-2022 - BankWise & Block-/District-Wise,16,96 - 97
Agenda for SLBC Meeting FY 2020-2021 Qtr. 4,17,1 - 11
Business and Credit Deposit Ratio - Bank-wise & District-wise,19,13 - 14
DCC & DLRC Reports,20,95
Digital Payments Ecosystem - Expanding and Deepening Review,21,88 - 90
Digital Transaction report - Bank-wise & District-wise,22,84 - 85
Education Loan - Bank-wise & Block-Wise/District-wise,23,64 - 65
FI & KCC Report - Bank-wise & District-wise,24,42 - 43
FLC Reports,27,91 - 94
Finance to Women - Bank-wise & Block-Wise/District-wise,25,72 - 73
"Financing under Overall, Rural & PMAY Housing - BankWise & District-Wise",26,66 - 67
Investment Cr. under Agri. (Disbursement) - Bankwise & Block-/District-wise,28,38 - 39
Investment Cr. under Agri. (Outstanding) - Bankwise & Block-/District-wise,29,36 - 37
Joint Liability Group (JLG) - Bank-wise & Block-Wise/District-wise,30,46 - 47
Kisan Credit Card (KCC) - Bank-wise & Block-Wise/District-wise,31,40 - 41
Loan to Minorities (Disbursement) - Bank-wise & Block-Wise/District-wise,32,76 - 77
Loan to Minorities (Outstanding) - Bank-wise & Block-Wise/District-wise,33,74 - 75
Loan to SC/ST (Outstanding) - Bank-wise & Block-Wise/District-wise,34,70 - 71
Loan to Weaker Section (Priority Sector) - Bank-wise & District-wise,35,68 - 69
Mudra loan (PMMY) Disbursement - Bank-wise & Block-Wise/District-wise,37,56 - 57
NPA under Govt. Sponsored Schemes - Bankwise & Block-Wise/District-wise,39,62 - 63
NRLM Disbursement - Bank-Wise & Block-Wise/District-wise,40,49 - 50
NRLM Target 2020-2021,41,48
NULM Disbursement - Bank-Wise & Block-Wise/District-wise,42,52 - 53
NULM Target 2020-2021,43,51
PMEGP Report - Bank-Wise & District-wise,44,60 - 61
PMEGP Target 2020-2021,45,60
PMJDY report - Bank-wise & Block-Wise/District-wise,46,78 - 79
Provision of banking services through banking outlets,47,86
Roadmap for providing banking services - villages with population < 2000,48,87
Self-Help Group (SHG) - Bank-wise & Block-Wise/District-wise,50,44 - 45
Social Security Scheme Report - Bank-wise & Block-Wise/District-wise,51,80 - 81
Stand-up India (SUI) Disbursement - Bank-wise & Block-Wise/District-wise,52,58 - 59
