district,Block Name,OS No,OS Amt,Disb No,Disb Amt
Aizawl,Tlangnuam,41561.0,99885.75,14713.0,39824.72
Champhai,Khawbung,711.0,1135.39,459.0,774.84
Hnahthial,Hnahthial,769.0,1898.48,429.0,1316.16
Khawzawl,Khawzawl,1398.0,2471.4,599.0,1278.79
Kolasib,N. Thingdawl,3735.0,4632.53,1262.0,2415.79
Lawngtlai,Sangau,518.0,1242.11,260.0,788.75
Lunglei,W. Bunghmun,249.0,439.92,147.0,337.32
Mamit,Zawlnuam,1718.0,3931.94,616.0,1734.85
Saiha,Tuipang,424.0,898.21,133.0,484.4
Saitual,Phullen,968.0,1529.54,431.0,883.71
Serchhip,Serchhip,2592.0,7070.53,1220.0,3625.82
