District,Block Name,NRLM,NULM,PMEGP,SHG,SUI
Aizawl,Tlangnuam,26.0,381.0,823.0,155.0,144.0
Champhai,Khawbung,156.0,0.0,15.0,86.0,2.0
Hnahthial,Hnahthial,5.0,0.0,55.0,43.0,4.0
Khawzawl,Khawzawl,172.0,0.0,73.0,98.0,2.0
Kolasib,N. Thingdawl,213.0,72.0,134.0,28.0,0.0
Lawngtlai,Sangau,127.0,0.0,65.0,5.0,0.0
Lunglei,W Bunghmun,0.0,0.0,10.0,0.0,0.0
Mamit,Zawlnuam,180.0,59.0,255.0,48.0,5.0
Saiha,Tuipang,163.0,0.0,34.0,1.0,0.0
Saitual,Phullen,0.0,4.0,62.0,17.0,0.0
Serchhip,Serchhip,220.0,163.0,197.0,46.0,5.0
