District,KVIC(Rural),KVIB(Rural),DIC(Rural),TOTAL
Aizawl,33,40,44,117
Champhai,34,43,41,118
Hnahthial,28,35,40,103
Khawzawl,27,35,40,102
Kolasib,33,38,41,112
Lawngtlai,33,32,42,107
Lunglei,30,44,41,115
Mamit,33,40,43,115
Saiha,30,0,43,73
Saitual,29,35,0,64
Serchhip,33,0,43,76
