district,Block Name,SC Disbursement,SC Outstanding,ST Disbursement,ST Outstanding
Aizawl,Tlangnuam,64.0,140.0,8285.0,40345.0
Champhai,Khawbung,2.0,2.0,176.0,1369.0
Hnahthial,Hnahthial,1.0,1.0,210.0,1355.0
Khawzawl,Khawzawl,0.0,0.0,322.0,3097.0
Kolasib,N. Thingdawl,0.0,0.0,359.0,4123.0
Lawngtlai,Sangau,0.0,0.0,159.0,1409.0
Lunglei,W. Bunghmun,0.0,0.0,90.0,572.0
Mamit,Zawlnuam,1.0,4.0,290.0,3117.0
Saiha,Tuipang,0.0,0.0,58.0,1043.0
Saitual,Phullen,0.0,0.0,363.0,2187.0
Serchhip,Serchhip,1.0,4.0,504.0,4304.0
