District,Name of Schedule Commercial Bank selected for allotment,No. ofallotedvillages,Roadmap <2000 Villages with Banking Outlet,Grand Total (E+F+G),Yettobe Covered
Mamit,MCAB,12,0,12,0
Kolasib,,7,1,7,0
Aizawl,AXIS,10,0,8,2
Champhai,HDFC,7,0,7,0
Serchhip,,25,1,25,0
Lunglei,,11,0,0,0
Lawngtlai,,32,0,32,0
Saiha,,10,0,10,0
